"Effect","Chisq","Df","Pr(>Chisq)"
"(Intercept)",54.0182086081219,1,1.9864022486792e-13
"valence",776.733833520492,1,6.17501058654308e-171
"action",3337.79254711158,1,0
"z_exposure",54.9547858116126,1,1.23334698472942e-13
"z_age",0.448088391718679,1,0.503244147297701
"session",43.8200653063278,1,3.59995293072078e-11
"valence:action",7.63419654248602,1,0.00572718918975088
"valence:z_exposure",9.07391534905329,1,0.00259281319383934
"action:z_exposure",1543.83134728718,1,0
"valence:z_age",18.437705940771,1,1.75549714566263e-05
"action:z_age",363.189215964363,1,5.69049099360058e-81
"z_exposure:z_age",3.1064280886778,1,0.0779838105630911
"valence:session",56.0903278293546,1,6.921679059115e-14
"action:session",0.161476954221352,1,0.687800345517148
"z_exposure:session",6.9552717126164,1,0.00835726056603863
"z_age:session",0.130616805783719,1,0.717793368913856
"valence:action:z_exposure",0.596251789521441,1,0.440011722350251
"valence:action:z_age",2.59342400327371,1,0.10730813269416
"valence:z_exposure:z_age",0.0645169346101347,1,0.799494136766975
"action:z_exposure:z_age",59.3758321892866,1,1.30259016404575e-14
"valence:action:session",9.87681657667721,1,0.00167374267963459
"valence:z_exposure:session",0.47931601557186,1,0.488732296895455
"action:z_exposure:session",1.69853042763183,1,0.192480277312638
"valence:z_age:session",0.0381544155465995,1,0.845133397173697
"action:z_age:session",0.00280417142520814,1,0.957768218068107
"z_exposure:z_age:session",0.26407788745931,1,0.60733233123481
"valence:action:z_exposure:z_age",1.46513759198223,1,0.22611444191053
"valence:action:z_exposure:session",1.33899731598906,1,0.247210870967996
"valence:action:z_age:session",3.36139897688185,1,0.0667413480916329
"valence:z_exposure:z_age:session",1.18515057079099,1,0.27630993061348
"action:z_exposure:z_age:session",1.45532203263797,1,0.227675903425333
"valence:action:z_exposure:z_age:session",1.47536240556183,1,0.224501529020984
