"","Df","Chisq","Chi Df","Pr(>Chisq)"
"previous_reward",25,118.390625561653,1,1.42393382254463e-27
"previous_transition",25,12.2879917111713,1,0.000455882029894519
"age_z",25,0.00185414566658437,1,0.965653871077253
"session",25,59.7500140987977,1,1.0770440052109e-14
"previous_reward:previous_transition",25,81.8281423821827,1,1.48449627414403e-19
"previous_reward:age_z",25,7.30947547614051,1,0.00685919455995355
"previous_transition:age_z",25,12.2142933841969,1,0.000474247695345334
"previous_reward:session",25,2.66821653869556,1,0.102370680729754
"previous_transition:session",25,0.538992200003122,1,0.462850691765389
"age_z:session",25,15.2393956797096,1,9.47070172800963e-05
"previous_reward:previous_transition:age_z",25,5.9892432873603,1,0.0143933755910817
"previous_reward:previous_transition:session",25,1.43830942717614,1,0.230413107874802
"previous_reward:age_z:session",25,3.21708882937673,1,0.0728731241168732
"previous_transition:age_z:session",25,0.31370175461052,1,0.575417474690697
"previous_reward:previous_transition:age_z:session",25,1.25997594247747,1,0.261655644397707
