"Effect","df","Chisq","p.value"
"previous_reward",1,"118.39 ***","<.001"
"previous_transition",1,"12.29 ***","<.001"
"age_z",1,"0.00",".966"
"session",1,"59.75 ***","<.001"
"previous_reward:previous_transition",1,"81.83 ***","<.001"
"previous_reward:age_z",1,"7.31 **",".007"
"previous_transition:age_z",1,"12.21 ***","<.001"
"previous_reward:session",1,"2.67",".102"
"previous_transition:session",1,"0.54",".463"
"age_z:session",1,"15.24 ***","<.001"
"previous_reward:previous_transition:age_z",1,"5.99 *",".014"
"previous_reward:previous_transition:session",1,"1.44",".230"
"previous_reward:age_z:session",1,"3.22 +",".073"
"previous_transition:age_z:session",1,"0.31",".575"
"previous_reward:previous_transition:age_z:session",1,"1.26",".262"
