subject,true_param_sampling,source_subject_idx,source_draw_idx,b1_true,b1_est,b1_refit_q025,b1_refit_q975,b1_refit_q25,b1_refit_q75,b2_true,b2_est,b2_refit_q025,b2_refit_q975,b2_refit_q25,b2_refit_q75,b3_true,b3_est,b3_refit_q025,b3_refit_q975,b3_refit_q25,b3_refit_q75,b4_true,b4_est,b4_refit_q025,b4_refit_q975,b4_refit_q25,b4_refit_q75,a1_true,a1_est,a1_refit_q025,a1_refit_q975,a1_refit_q25,a1_refit_q75,a2_true,a2_est,a2_refit_q025,a2_refit_q975,a2_refit_q25,a2_refit_q75
6202,independent,9,2270,5.343837,10.08,4.205,20.74,6.526,12.79,13.232568,10.9,6.765,16.56,9.176,12.33,0.86940694,1.343,0.7024,2.065,1.11,1.563,-0.38586393,0.02691,-0.7363,0.7864,-0.2306,0.2878,0.1100627,0.05698,0.01412,0.1693,0.02687,0.07372,0.066560321,0.1112,0.04316,0.2341,0.07673,0.1347
160,independent,41,4002,12.250349,4.274,-1.782,14.22,1.538,6.283,7.2602538,6.18,4.228,8.966,5.354,6.844,5.5410382,4.242,3.128,5.588,3.802,4.657,2.4417599,1.529,0.8359,2.299,1.269,1.77,0.037142553,0.0845,0.003168,0.3214,0.02161,0.1167,0.16647127,0.187,0.07364,0.3212,0.1439,0.2265
2069,independent,24,1537,10.562435,8.359,5.602,11.83,7.204,9.384,18.997771,13.46,8.441,20.19,11.31,15.25,2.025594,1.552,0.6434,2.538,1.228,1.865,1.5119029,1.044,0.01901,2.225,0.6596,1.399,0.29544435,0.2544,0.1322,0.4057,0.2036,0.3002,0.18476289,0.2023,0.08359,0.3665,0.1481,0.2476
3897,independent,89,2254,18.829461,12.0,7.313,18.53,9.937,13.72,9.4399197,12.67,8.379,18.27,10.85,14.27,0.43294442,0.4234,-0.5928,1.473,0.07027,0.7691,-0.34722719,-0.8557,-1.81,0.01725,-1.163,-0.5294,0.17084594,0.1984,0.07503,0.3856,0.1385,0.2462,0.39615964,0.3174,0.2086,0.4367,0.2785,0.3541
260,independent,129,466,18.067581,16.7,8.986,26.49,13.34,19.64,23.057454,15.59,9.695,23.67,12.97,17.83,0.52628991,0.5767,-0.3022,1.518,0.2619,0.8785,-0.81157153,-0.8167,-1.986,0.2835,-1.197,-0.421,0.082708373,0.1241,0.05388,0.2524,0.08676,0.1503,0.034689868,0.1362,0.05323,0.2701,0.09572,0.1676
5776,independent,34,1409,-11.281215,0.1603,-4.195,5.029,-1.08,1.287,1.5923029,4.953,-0.6973,18.75,1.403,7.145,4.2452231,3.29,2.488,4.216,2.985,3.566,-3.3727638,-2.983,-3.816,-2.264,-3.239,-2.711,0.01,0.1099,0.00376,0.419,0.02828,0.153,0.071517958,0.08651,0.00314,0.3855,0.01369,0.1213
5277,independent,8,4787,9.8409025,19.29,11.43,29.26,16.05,22.12,7.0649295,8.78,5.662,13.56,7.385,9.867,0.95107311,0.7242,-0.2772,1.764,0.3623,1.067,-0.57822907,-0.5789,-1.488,0.3106,-0.872,-0.2855,0.19247302,0.1141,0.05048,0.2217,0.08282,0.1375,0.64616571,0.5614,0.3212,0.768,0.4867,0.6443
5053,independent,147,1493,19.579844,13.11,6.154,23.79,9.674,15.9,8.9050047,10.95,6.379,18.3,8.817,12.58,4.0085093,3.387,2.339,4.665,2.965,3.769,0.81314355,0.4707,-0.3494,1.332,0.174,0.7654,0.019711757,0.03434,0.01005,0.08968,0.01899,0.04406,0.14647406,0.1311,0.04675,0.2713,0.0886,0.1632
1850,independent,72,4367,3.1054297,2.941,1.508,8.852,2.051,3.003,6.380338,8.322,2.779,20.05,4.818,10.71,0.031967581,-0.09913,-0.5366,0.35,-0.245,0.04449,-0.80554029,-1.073,-1.595,-0.5925,-1.242,-0.8953,0.061950794,0.1705,0.01335,0.4359,0.08667,0.2344,0.029338141,0.04185,0.006688,0.1448,0.01582,0.05541
7,independent,14,2509,7.3712496,10.25,6.017,18.79,8.005,11.71,12.232466,11.02,4.904,21.9,7.544,13.59,4.0486264,3.455,2.214,4.933,2.975,3.891,-2.6430746,-2.714,-3.713,-1.851,-3.013,-2.378,0.15109735,0.08517,0.02336,0.2105,0.04875,0.1092,0.022231723,0.04352,0.01139,0.1288,0.02196,0.05474
