subject,true_param_sampling,source_subject_idx,source_draw_idx,b1_true,b1_est,b1_refit_q025,b1_refit_q975,b1_refit_q25,b1_refit_q75,a1_true,a1_est,a1_refit_q025,a1_refit_q975,a1_refit_q25,a1_refit_q75,a2_true,a2_est,a2_refit_q025,a2_refit_q975,a2_refit_q25,a2_refit_q75,a3_true,a3_est,a3_refit_q025,a3_refit_q975,a3_refit_q25,a3_refit_q75,a4_true,a4_est,a4_refit_q025,a4_refit_q975,a4_refit_q25,a4_refit_q75,q0_true,q0_est,q0_refit_q025,q0_refit_q975,q0_refit_q25,q0_refit_q75
6202,independent,86,123,3.7858819,4.106,2.99,5.469,3.663,4.504,0.43299406,0.4391,0.2506,0.665,0.3615,0.5104,0.11459238,0.09147,0.02044,0.2046,0.05528,0.1195,0.16147448,0.1093,0.03742,0.1945,0.08002,0.1356,0.59697801,0.443,0.219,0.6935,0.357,0.5243,0.22389735,0.2851,0.1114,0.4634,0.2249,0.3432
160,independent,81,5458,4.9599896,4.534,3.213,6.146,4.003,5.008,0.42919912,0.3694,0.1952,0.5874,0.297,0.4342,0.11204499,0.0921,0.02985,0.1684,0.06593,0.1157,0.095738899,0.07183,0.01556,0.1627,0.04308,0.09386,0.33362882,0.3459,0.1921,0.5408,0.2826,0.4014,0.59991223,0.6622,0.518,0.8225,0.6111,0.7111
2069,independent,148,4743,3.8232103,3.721,2.632,5.101,3.277,4.109,0.43524069,0.4152,0.2131,0.6669,0.328,0.493,0.034342147,0.09856,0.02423,0.2088,0.06316,0.1276,0.06527725,0.1166,0.02619,0.2528,0.07207,0.1527,0.41204793,0.4231,0.2362,0.6405,0.3494,0.4912,0.68625501,0.5481,0.3578,0.7473,0.4828,0.612
3897,independent,121,430,3.5769903,3.162,2.09,4.432,2.748,3.544,0.37902944,0.3683,0.1812,0.5979,0.2926,0.4354,0.057096605,0.05636,0.01459,0.1181,0.03685,0.07226,0.22555987,0.1403,0.02951,0.3272,0.08278,0.1832,0.3331006,0.3577,0.2075,0.5505,0.2962,0.4105,0.79335221,0.7882,0.6043,0.9469,0.7286,0.8542
260,independent,88,7272,5.8972683,6.064,4.565,7.79,5.492,6.589,0.51560997,0.4912,0.2968,0.7032,0.4183,0.5605,0.13390366,0.1525,0.08405,0.2263,0.1277,0.176,0.36441653,0.2219,0.08421,0.3676,0.1703,0.2718,0.55208218,0.348,0.2159,0.5041,0.2955,0.3962,0.8521812,0.7724,0.6336,0.9154,0.7215,0.8221
5776,independent,78,1762,1.9122449,2.782,1.923,3.776,2.453,3.078,0.47015254,0.4278,0.2071,0.6806,0.3405,0.5103,0.022518372,0.04365,0.01089,0.09487,0.02729,0.05618,0.10503936,0.1517,0.02785,0.3692,0.08286,0.2028,0.10042489,0.1226,0.04184,0.2379,0.0861,0.153,0.92970286,0.8139,0.6324,0.9562,0.7578,0.8781
5277,independent,143,2040,4.30447,3.994,2.871,5.376,3.554,4.388,0.28822432,0.3646,0.2213,0.5371,0.3069,0.4166,0.13772489,0.08417,0.01891,0.1931,0.05002,0.1098,0.083203274,0.05319,0.01307,0.1123,0.03381,0.06906,0.40843386,0.4349,0.2437,0.6554,0.3611,0.5035,0.25661426,0.279,0.1102,0.4438,0.2213,0.3368
5053,independent,132,1474,0.79223497,1.319,0.4959,2.182,1.031,1.602,0.48514756,0.5109,0.2705,0.7512,0.4248,0.5969,0.16431927,0.1124,0.02442,0.262,0.0657,0.1477,0.10522603,0.1541,0.02985,0.3603,0.08764,0.2059,0.33351603,0.436,0.1773,0.7265,0.333,0.5327,0.63303453,0.6723,0.3458,0.9222,0.5763,0.785
1850,independent,110,2668,5.5906546,5.874,4.427,7.594,5.313,6.386,0.43456313,0.3815,0.2383,0.5418,0.3274,0.4325,0.085014284,0.06999,0.0166,0.1495,0.04438,0.09058,0.20773722,0.1929,0.1179,0.2755,0.1659,0.2187,0.37321769,0.4002,0.2109,0.6213,0.3257,0.4692,0.36186878,0.2811,0.1374,0.4112,0.2347,0.3292
7,independent,86,1407,4.7338925,4.837,3.581,6.301,4.357,5.277,0.29785028,0.4111,0.2428,0.6146,0.3444,0.4719,0.230471,0.1488,0.04155,0.2845,0.1008,0.1921,0.28633189,0.2685,0.1496,0.3975,0.2247,0.3105,0.48220882,0.5092,0.3006,0.7293,0.4324,0.5843,0.28668231,0.2771,0.1117,0.4401,0.2193,0.336
156,independent,18,2782,4.5767413,3.86,2.818,5.086,3.462,4.223,0.43396801,0.393,0.193,0.6248,0.3141,0.4672,0.13261611,0.1179,0.03929,0.2106,0.08656,0.1467,0.061990295,0.1316,0.02864,0.2924,0.07958,0.1734,0.34891619,0.4602,0.2786,0.6661,0.3906,0.5249,0.82284265,0.8369,0.6731,0.9626,0.7864,0.8942
150,independent,57,6496,3.0753806,2.805,1.941,3.757,2.49,3.106,0.52463733,0.5124,0.2752,0.7444,0.428,0.5979,0.20346084,0.08264,0.02053,0.1777,0.0527,0.1066,0.13322905,0.2023,0.05093,0.4129,0.1305,0.2621,0.62575147,0.4555,0.2319,0.7044,0.3679,0.5377,0.78728165,0.6726,0.44,0.8914,0.5932,0.7558
4504,independent,112,3611,5.7148941,4.99,3.827,6.278,4.554,5.405,0.48154433,0.5366,0.3594,0.7236,0.4701,0.5997,0.09674502,0.07964,0.032,0.1383,0.06018,0.09663,0.16271484,0.1396,0.04504,0.2527,0.1007,0.1751,0.54456949,0.606,0.3763,0.8295,0.5258,0.6888,0.53716776,0.608,0.4634,0.7617,0.5575,0.6577
5861,independent,129,7386,5.6353123,4.773,3.68,6.019,4.357,5.165,0.55396212,0.5756,0.3823,0.7784,0.5038,0.645,0.075761672,0.1173,0.03802,0.2123,0.08479,0.1471,0.28677088,0.1677,0.05574,0.3008,0.1228,0.2086,0.63207505,0.5843,0.3925,0.7908,0.5137,0.6521,0.57342022,0.5896,0.4252,0.7608,0.532,0.6461
378,independent,108,3595,4.1730592,3.558,2.525,4.744,3.172,3.918,0.32737894,0.4696,0.265,0.6903,0.3928,0.5426,0.074935316,0.05986,0.01595,0.1238,0.03935,0.07638,0.046959474,0.1314,0.02684,0.305,0.07649,0.1734,0.19398928,0.2617,0.1282,0.4191,0.2086,0.3099,0.75194794,0.725,0.5534,0.9039,0.6633,0.7868
3373,independent,30,2212,5.4492673,5.179,3.967,6.627,4.71,5.61,0.41321814,0.4499,0.2484,0.6695,0.3742,0.5226,0.10600524,0.1263,0.03783,0.2431,0.08814,0.1592,0.17506741,0.1521,0.05023,0.272,0.1107,0.1895,0.45056335,0.5374,0.34,0.7471,0.4651,0.6081,0.41431965,0.4794,0.3287,0.6303,0.4297,0.5297
1688,independent,34,6310,3.1432909,4.131,3.077,5.304,3.737,4.505,0.93883829,0.6513,0.4483,0.8318,0.5876,0.7205,0.021222892,0.06698,0.01825,0.1356,0.04428,0.08607,0.18449365,0.2141,0.05583,0.4121,0.1474,0.2737,0.41130548,0.3518,0.1939,0.5489,0.2873,0.4087,0.70899348,0.6922,0.5231,0.8654,0.6322,0.752
5888,independent,142,6558,4.8706847,4.805,3.618,6.268,4.336,5.223,0.4091317,0.3858,0.2336,0.5711,0.3252,0.4413,0.10217726,0.1324,0.03596,0.2616,0.08824,0.1694,0.045126846,0.04437,0.01211,0.093,0.02906,0.05656,0.33273719,0.4661,0.2446,0.7198,0.3785,0.5479,0.37355668,0.3594,0.1981,0.5084,0.3094,0.4124
49,independent,57,6895,3.4047002,3.883,2.816,5.158,3.473,4.261,0.66584778,0.4724,0.2678,0.7023,0.3922,0.548,0.06117364,0.08811,0.02517,0.1716,0.06024,0.112,0.21957448,0.2143,0.06248,0.4029,0.1493,0.2718,0.57237099,0.3543,0.1907,0.5674,0.2861,0.4137,0.77169539,0.6991,0.5224,0.8821,0.6353,0.7622
580,independent,108,7119,4.1807472,4.442,3.393,5.629,4.052,4.802,0.37782455,0.4719,0.2649,0.692,0.3932,0.548,0.024735524,0.04898,0.01253,0.1046,0.03121,0.06308,0.10565699,0.08309,0.01803,0.1887,0.04953,0.1088,0.38799171,0.4315,0.2838,0.6046,0.3733,0.4838,0.85072907,0.7212,0.5604,0.8864,0.6631,0.7772
353,independent,31,200,3.0053077,3.619,2.685,4.682,3.271,3.951,0.64500811,0.5498,0.327,0.7729,0.4693,0.6316,0.012023686,0.07453,0.02227,0.1414,0.0524,0.09392,0.13638661,0.1846,0.03973,0.4035,0.1121,0.2427,0.20483342,0.2517,0.1135,0.4223,0.1956,0.3013,0.73405492,0.8515,0.6967,0.9672,0.8038,0.9062
83,independent,152,4103,3.4129951,4.493,3.235,6.036,3.99,4.946,0.45182233,0.4291,0.2387,0.6518,0.3523,0.4985,0.026380768,0.04956,0.0131,0.1037,0.03208,0.06353,0.05437239,0.1586,0.0382,0.3351,0.1014,0.2063,0.22841315,0.1932,0.09085,0.3184,0.1525,0.229,0.71276939,0.6179,0.4717,0.7826,0.5642,0.6682
5264,independent,45,2145,3.9903089,3.264,2.415,4.222,2.947,3.562,0.53774277,0.531,0.3184,0.7491,0.4536,0.6077,0.18831129,0.11,0.0254,0.2452,0.06693,0.1439,0.06492891,0.08535,0.01888,0.1941,0.05068,0.1124,0.43960145,0.5591,0.3644,0.7639,0.4861,0.6294,0.73269914,0.5009,0.2701,0.7418,0.4205,0.5803
377,independent,34,1959,3.1632537,3.489,2.522,4.6,3.118,3.837,0.69336767,0.5322,0.3084,0.753,0.4525,0.6131,0.043771849,0.04538,0.01176,0.0961,0.02889,0.05852,0.050199623,0.1257,0.03058,0.2686,0.07944,0.1627,0.35965779,0.3707,0.2189,0.5608,0.309,0.4253,0.79201515,0.7084,0.5247,0.8874,0.6436,0.7739
5128,independent,43,1929,4.3907864,4.534,3.257,6.076,4.03,4.978,0.55185435,0.4895,0.3034,0.6963,0.4188,0.5565,0.21139882,0.1701,0.06428,0.2937,0.128,0.2082,0.14516328,0.1312,0.04217,0.2409,0.09525,0.1634,0.29211123,0.3323,0.1383,0.5933,0.2468,0.4051,0.25391601,0.2891,0.1244,0.4464,0.2326,0.3472
3835,independent,38,6593,4.9978398,5.97,4.579,7.594,5.416,6.479,0.32804799,0.4254,0.246,0.6372,0.3537,0.491,0.098082978,0.1108,0.0342,0.2057,0.07868,0.1393,0.12220332,0.158,0.0713,0.2492,0.1267,0.1885,0.62063005,0.6137,0.4341,0.8074,0.5472,0.677,0.65889368,0.6492,0.5096,0.8137,0.5963,0.6982
3432,independent,16,6336,5.8490241,5.35,4.237,6.634,4.92,5.743,0.48934183,0.392,0.1991,0.6151,0.3169,0.4626,0.044652493,0.031,0.008056,0.06435,0.02017,0.03986,0.22772946,0.1662,0.05352,0.3055,0.1203,0.207,0.62180873,0.5027,0.3425,0.6899,0.4406,0.5603,0.80221805,0.8492,0.7128,0.963,0.8053,0.8979
4331,independent,73,1710,6.7640634,7.358,5.817,9.172,6.771,7.897,0.27427408,0.211,0.1137,0.3292,0.1719,0.2462,0.11775503,0.1155,0.02532,0.2624,0.0696,0.1505,0.010172167,0.04375,0.01463,0.07752,0.03205,0.05453,0.65376322,0.6338,0.4117,0.8423,0.5579,0.7121,0.32649701,0.2579,0.1278,0.3731,0.2176,0.3012
1484,independent,91,3276,2.4642609,2.403,1.534,3.382,2.08,2.704,0.50946915,0.4822,0.2474,0.7242,0.3962,0.569,0.10553436,0.1003,0.02598,0.2075,0.06476,0.1296,0.14925757,0.1443,0.03002,0.3372,0.08484,0.1895,0.19576066,0.311,0.1285,0.5438,0.2346,0.3774,0.76694163,0.7618,0.5376,0.9423,0.6926,0.84
94,independent,24,5931,5.6349524,5.424,4.209,6.818,4.953,5.849,0.56654205,0.5056,0.3304,0.6993,0.4391,0.5678,0.11788935,0.09799,0.03934,0.1687,0.07473,0.1188,0.11606202,0.124,0.03159,0.2535,0.08054,0.1605,0.56817399,0.5833,0.4148,0.7624,0.5215,0.6424,0.7815819,0.6752,0.5264,0.8408,0.62,0.7271
3779,independent,74,1185,3.1681736,3.19,2.269,4.246,2.84,3.512,0.33859746,0.5229,0.2847,0.7552,0.4372,0.6092,0.035285132,0.04632,0.01208,0.09719,0.02997,0.05939,0.058861332,0.1182,0.02316,0.2874,0.06752,0.1547,0.086598081,0.1837,0.07918,0.3167,0.1407,0.2209,0.71548482,0.7932,0.6196,0.944,0.7367,0.854
5154,independent,7,5039,4.6326463,4.531,3.303,5.997,4.052,4.973,0.19988502,0.3195,0.1455,0.5494,0.2435,0.3842,0.066838501,0.1081,0.04995,0.1753,0.08514,0.1293,0.044442315,0.1252,0.03398,0.2454,0.08505,0.1598,0.28308172,0.5104,0.3438,0.7005,0.4455,0.5721,0.70351872,0.7939,0.6398,0.9396,0.7399,0.8492
1993,independent,88,3508,5.4978383,5.172,4.009,6.502,4.735,5.585,0.57492487,0.5245,0.3186,0.7366,0.4497,0.5984,0.11649323,0.08586,0.03051,0.15,0.06361,0.1064,0.36818303,0.2652,0.07714,0.478,0.1903,0.3365,0.4209403,0.449,0.2874,0.6323,0.3878,0.5061,0.83912735,0.8214,0.6709,0.9527,0.7714,0.8742
3882,independent,56,7419,7.2397711,6.503,4.978,8.3,5.908,7.046,0.16352701,0.2376,0.146,0.3486,0.201,0.2701,0.28999778,0.1493,0.03202,0.3379,0.08661,0.1979,0.010733735,0.0294,0.00785,0.06091,0.01908,0.03782,0.37257752,0.4551,0.2696,0.6672,0.3847,0.52,0.31058158,0.242,0.1179,0.3501,0.2025,0.2833
65,independent,108,5913,3.9827438,3.75,2.87,4.756,3.423,4.053,0.48677672,0.4591,0.2183,0.7137,0.3689,0.5478,0.04862753,0.04273,0.01295,0.08284,0.02953,0.05392,0.16062993,0.1796,0.03755,0.4066,0.1069,0.2372,0.36297698,0.3694,0.2156,0.5456,0.3108,0.4241,0.9205948,0.8957,0.7713,0.9793,0.8614,0.9371
859,independent,120,1855,5.7728847,5.833,4.494,7.414,5.313,6.305,0.42042594,0.4233,0.2813,0.5794,0.3695,0.4737,0.041897823,0.1013,0.02971,0.2003,0.06872,0.128,0.096317469,0.08244,0.03057,0.1429,0.06171,0.1015,0.61157617,0.481,0.2761,0.7171,0.3979,0.558,0.24194377,0.2413,0.1054,0.3685,0.1942,0.2892
159,independent,26,6680,5.9665954,5.975,4.698,7.406,5.494,6.422,0.65087218,0.5605,0.3724,0.7608,0.491,0.6289,0.048825785,0.05441,0.01423,0.1158,0.03522,0.06934,0.15771723,0.1076,0.04295,0.1846,0.08185,0.1309,0.52769235,0.5897,0.3941,0.7966,0.5178,0.6611,0.36255872,0.4137,0.2803,0.5428,0.3709,0.4582
4863,independent,142,6393,6.0681576,5.686,4.284,7.325,5.138,6.187,0.27008365,0.377,0.22,0.5649,0.3141,0.4338,0.12875101,0.1941,0.08276,0.3183,0.1524,0.2343,0.15978219,0.1601,0.06742,0.2676,0.1242,0.1931,0.48672745,0.4891,0.2929,0.7098,0.4135,0.5594,0.49296446,0.4991,0.3608,0.6384,0.4526,0.5455
2486,independent,126,1704,5.7203944,5.998,4.56,7.716,5.438,6.498,0.40700564,0.4226,0.234,0.6256,0.3514,0.4899,0.12676853,0.108,0.03851,0.187,0.08123,0.1333,0.14572797,0.1243,0.03807,0.233,0.08762,0.1569,0.39375023,0.4368,0.2598,0.6473,0.3648,0.502,0.65459295,0.7061,0.5665,0.8606,0.6518,0.7562
145,independent,38,4145,5.1604792,5.384,4.159,6.802,4.902,5.819,0.50858157,0.4574,0.2863,0.6525,0.3915,0.5187,0.087614715,0.1015,0.03459,0.1828,0.0743,0.126,0.045513196,0.0749,0.0182,0.1602,0.04748,0.09754,0.53687042,0.5868,0.3911,0.7896,0.5147,0.6575,0.6412791,0.6247,0.4769,0.787,0.5708,0.6762
4033,independent,71,6353,5.5641967,5.442,4.202,6.859,4.965,5.888,0.66801247,0.5628,0.3811,0.7531,0.497,0.6268,0.110025,0.09159,0.03575,0.154,0.0698,0.1117,0.090924059,0.07668,0.01834,0.1627,0.04903,0.09884,0.57164961,0.4152,0.2525,0.6078,0.3509,0.4745,0.66295496,0.6653,0.5226,0.8231,0.6134,0.7145
2316,independent,151,1852,6.6631175,6.622,4.951,8.555,5.987,7.208,0.40480041,0.4609,0.3162,0.6238,0.4043,0.5142,0.027969002,0.05425,0.01663,0.1039,0.03794,0.06806,0.098635553,0.09841,0.03634,0.1702,0.07485,0.1202,0.41941192,0.3808,0.2191,0.5876,0.313,0.4402,0.37210391,0.3633,0.2367,0.4752,0.3245,0.4045
