subject,true_param_sampling,source_subject_idx,source_draw_idx,batch_index,alpha1_sess_true,alpha1_sess_est,alpha1_sess_refit_q025,alpha1_sess_refit_q975,alpha1_sess_refit_q25,alpha1_sess_refit_q75,beta1m_sess_true,beta1m_sess_est,beta1m_sess_refit_q025,beta1m_sess_refit_q975,beta1m_sess_refit_q25,beta1m_sess_refit_q75,beta1t_sess_true,beta1t_sess_est,beta1t_sess_refit_q025,beta1t_sess_refit_q975,beta1t_sess_refit_q25,beta1t_sess_refit_q75,beta2_sess_true,beta2_sess_est,beta2_sess_refit_q025,beta2_sess_refit_q975,beta2_sess_refit_q25,beta2_sess_refit_q75,betac_sess_true,betac_sess_est,betac_sess_refit_q025,betac_sess_refit_q975,betac_sess_refit_q25,betac_sess_refit_q75
6202,independent,51,7057,1,0.037002478,0.1071,0.05025,0.2025,0.08322,0.1347,0.91288144,0.7362,0.2165,1.82,0.5235,1.054,0.73742362,1.589,0.7166,2.885,1.274,1.994,3.634586,4.147,2.501,6.316,3.55,4.852,0.47222662,0.278,0.08812,0.5333,0.1949,0.3691
160,independent,96,9393,1,0.39496727,0.2409,0.1407,0.3868,0.1992,0.2885,1.2789101,1.637,0.6379,2.999,1.237,2.064,0.81530599,1.053,0.5296,1.815,0.8417,1.312,3.8388356,3.725,2.566,5.263,3.308,4.158,0.47930708,0.3286,0.1217,0.6199,0.2462,0.4264
2069,independent,10,9319,1,0.14712345,0.1332,0.08763,0.2067,0.1153,0.1554,0.10057508,0.5334,0.1718,1.209,0.3634,0.7183,1.8876786,0.9823,0.4525,1.897,0.7595,1.251,6.5825914,7.123,5.185,9.348,6.406,7.814,0.15032745,0.1871,0.05523,0.4228,0.132,0.261
3897,independent,57,8953,1,0.51975908,0.4803,0.3446,0.634,0.4264,0.533,0.62835071,0.8868,0.341,1.589,0.6935,1.107,1.26563,1.498,0.8508,2.222,1.26,1.741,2.1418314,3.547,2.621,4.669,3.185,3.916,0.087754425,0.2736,0.09055,0.5701,0.1988,0.3645
260,independent,66,884,1,0.061147517,0.06592,0.03715,0.1197,0.05444,0.0808,0.64208776,0.6158,0.1921,1.489,0.4329,0.8636,0.75781691,1.256,0.564,2.419,0.9744,1.576,6.3051668,6.004,4.144,8.243,5.365,6.711,0.31444539,0.2176,0.08518,0.4201,0.1591,0.2824
5776,independent,16,2481,1,0.32030435,0.3032,0.2344,0.382,0.2772,0.3304,1.2989759,0.9011,0.2799,1.974,0.651,1.21,3.3501796,3.898,2.598,5.335,3.464,4.359,8.9211802,8.081,6.097,10.59,7.315,8.837,0.22111298,0.3144,0.09699,0.7023,0.2204,0.4374
5277,independent,22,16521,1,0.53286387,0.5109,0.3382,0.7055,0.4473,0.5752,0.8554082,1.208,0.5397,2.047,0.9563,1.473,1.0994817,1.427,0.7945,2.349,1.179,1.722,2.8183639,2.534,1.625,3.615,2.216,2.902,0.23278184,0.2089,0.07319,0.4384,0.1507,0.274
5053,independent,9,15096,1,0.45147373,0.3606,0.2609,0.4833,0.3256,0.4038,3.423506,1.874,0.4736,4.128,1.276,2.52,2.4449635,3.172,1.478,5.375,2.544,3.905,6.9750755,7.645,5.786,10.05,6.968,8.414,2.0485741,1.75,0.9344,2.726,1.464,2.052
1850,independent,85,12418,1,0.6523706,0.6626,0.5152,0.7988,0.6152,0.711,0.51501949,0.6758,0.2546,1.327,0.4968,0.8838,2.1055768,1.766,1.094,2.536,1.528,2.037,4.976086,5.322,3.759,7.409,4.722,5.952,0.32878942,0.3077,0.1208,0.6171,0.2232,0.4041
7,independent,33,19459,1,0.64041155,0.6136,0.3744,0.8535,0.5214,0.7071,0.54501158,0.9535,0.3932,1.725,0.7024,1.205,0.51165759,0.9516,0.4589,1.653,0.7547,1.171,2.3720036,2.533,1.677,3.527,2.206,2.862,0.70385698,0.8336,0.4809,1.229,0.702,0.9644
