,subject,age,block,trial,exposure,bandit,probability,stimulus,color,points,key_press,choice,rt,outcome,minimum_resolution,browser_interactions,session
1,2915,15,1,1,1,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,1508.8,5,1,0,2
2,2915,15,1,2,1,2,0.5,anhinga-bird-silhouette,#387da2,10,1,0,420.8,5,1,0,2
3,2915,15,1,3,1,3,0.8,cow-silhouette,#993333,10,0,0,568.2,5,1,0,2
4,2915,15,1,4,2,2,0.5,anhinga-bird-silhouette,#387da2,10,0,0,605.4,5,1,0,2
5,2915,15,1,5,2,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,503.8,5,1,0,2
6,2915,15,1,6,2,3,0.8,cow-silhouette,#993333,0,1,1,421.6,0,1,0,2
7,2915,15,1,7,3,1,0.2,fish-hog-snapper-shape,#b19e3c,0,0,0,589.1,5,1,0,2
8,2915,15,1,8,3,3,0.8,cow-silhouette,#993333,10,1,0,642.1,5,1,0,2
9,2915,15,1,9,3,2,0.5,anhinga-bird-silhouette,#387da2,10,0,1,442.8,10,1,0,2
10,2915,15,1,10,4,1,0.2,fish-hog-snapper-shape,#b19e3c,10,0,0,548.3,5,1,0,2
11,2915,15,1,11,4,2,0.5,anhinga-bird-silhouette,#387da2,0,0,0,450.3,5,1,0,2
12,2915,15,1,12,4,3,0.8,cow-silhouette,#993333,10,1,0,1100.5,5,1,0,2
13,2915,15,1,13,5,3,0.8,cow-silhouette,#993333,10,1,1,557.5,10,1,0,2
14,2915,15,1,14,5,2,0.5,anhinga-bird-silhouette,#387da2,10,1,1,621.1,10,1,0,2
15,2915,15,1,15,5,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,475.5,5,1,0,2
16,2915,15,1,16,6,2,0.5,anhinga-bird-silhouette,#387da2,0,0,1,667.2,0,1,0,2
17,2915,15,1,17,6,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,584.6,5,1,0,2
18,2915,15,1,18,6,3,0.8,cow-silhouette,#993333,10,0,1,621,10,1,0,2
19,2915,15,1,19,7,3,0.8,cow-silhouette,#993333,10,0,1,523.3,10,1,0,2
20,2915,15,1,20,7,2,0.5,anhinga-bird-silhouette,#387da2,0,1,1,624.5,0,1,0,2
21,2915,15,1,21,7,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,610.7,5,1,0,2
22,2915,15,1,22,8,1,0.2,fish-hog-snapper-shape,#b19e3c,0,1,0,455,5,1,0,2
23,2915,15,1,23,8,3,0.8,cow-silhouette,#993333,10,0,1,822,10,1,0,2
24,2915,15,1,24,8,2,0.5,anhinga-bird-silhouette,#387da2,10,0,0,745.5,5,1,0,2
25,2915,15,1,25,9,3,0.8,cow-silhouette,#993333,10,0,1,727.2,10,1,0,2
26,2915,15,1,26,9,2,0.5,anhinga-bird-silhouette,#387da2,10,0,1,776.8,10,1,0,2
