participant_ID,subject_id,gender,practice_trial,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,age,task_date,time_elapsed,rocket_color_right,rocket_color_left,alien_selected,session,age_group,time_elapsed_1,state_1_key,planet_image,state_2_key,previous_reward,previous_transition,previous_choice,stay
4004,3547,Male,real,1,common,1,NA,2,2015.5,665.7999999523163,17,SESSION,593803,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,2,common,0,1,2,247.89999997615814,1561.3999999761581,17,SESSION,600630,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,3,common,1,2,1,613.6000000238419,780.2999999523163,17,SESSION,607040,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,4,rare,1,1,2,543.6999999284744,822.3999999761581,17,SESSION,613427,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,5,rare,0,1,1,514.6000000238419,905,17,SESSION,619877,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,6,rare,1,2,2,541.5,580.6000000238419,17,SESSION,626016,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,7,rare,1,2,1,703.2000000476837,678,17,SESSION,632414,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,8,common,1,2,2,498.39999997615814,952.5999999046326,17,SESSION,638885,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,9,common,1,1,2,370.10000002384186,740.8999999761581,17,SESSION,645016,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,10,common,1,1,1,556.7999999523163,649.7999999523163,17,SESSION,651238,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,11,common,1,2,2,441.09999990463257,693.0999999046326,17,SESSION,657391,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,12,common,0,1,2,625.8999999761581,697.6999999284744,17,SESSION,663731,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,13,rare,0,1,2,464.6999999284744,1203.1000000238419,17,SESSION,670417,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,14,common,1,2,1,530.6000000238419,576.1999999284744,17,SESSION,676543,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,15,rare,0,2,2,630.8999999761581,651.5,17,SESSION,682844,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,16,common,1,1,2,268.10000002384186,755.1000000238419,17,SESSION,688884,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,17,common,0,2,1,447.39999997615814,391.5,17,SESSION,694741,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,18,common,1,2,2,1654.5,538.2000000476837,17,SESSION,701949,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,19,rare,0,1,1,596.5,1001.1000000238419,17,SESSION,708562,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,20,common,1,1,2,537.5,1258.7000000476837,17,SESSION,715374,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,21,rare,1,2,1,423.10000002384186,1034.2000000476837,17,SESSION,721849,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,22,common,1,1,2,619.8000000715256,1186.1000000238419,17,SESSION,728673,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,23,common,1,2,2,763.6000000238419,1705.7000000476837,17,SESSION,736161,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,24,common,1,1,1,483.7999999523163,1384,17,SESSION,743044,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,25,rare,1,2,2,333.7999999523163,772.9000000953674,17,SESSION,749163,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,26,common,1,1,1,675,869.1000000238419,17,SESSION,755725,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,27,common,1,2,1,483.90000009536743,867.3000000715256,17,SESSION,762092,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,28,rare,0,1,2,660.2999999523163,652.5,17,SESSION,768421,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,29,common,0,2,1,552.2999999523163,510.89999997615814,17,SESSION,774501,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
4004,3547,Male,real,30,rare,1,1,1,562.3999999761581,774.7999999523163,17,SESSION,780855,images/rocket2,NA,NA,1,Adolescents,NA,NA,NA,NA,NA,NA,NA,NA
