participant_ID,subject_id,gender,practice_trial,trial,transition,reward,choice_1,choice_2,rt_1,rt_2,age,task_date,time_elapsed,rocket_color_right,rocket_color_left,alien_selected,planet_image,state_1_key,state_2_key,previous_reward,previous_transition,previous_choice,stay,age_group
228,348,O,real,10,common,0,2,1,376,674,14,2022-10-23,608973,green,purple,1,Red,48,49,No Reward,common,1,0,Adolescents
228,348,O,real,11,rare,1,2,2,729,1174,14,2022-10-23,615913,green,purple,4,Purple,48,48,No Reward,common,2,1,Adolescents
228,348,O,real,12,common,0,2,2,411,698,14,2022-10-23,622083,green,purple,2,Red,48,48,Reward,rare,2,1,Adolescents
228,348,O,real,13,common,0,2,1,383,1024,14,2022-10-23,628543,green,purple,1,Red,48,49,No Reward,common,2,1,Adolescents
228,348,O,real,14,common,1,2,1,348,914,14,2022-10-23,634843,green,purple,1,Red,48,49,No Reward,common,2,1,Adolescents
228,348,O,real,15,common,0,1,1,357,780,14,2022-10-23,641022,green,purple,3,Purple,49,49,Reward,common,2,0,Adolescents
228,348,O,real,16,rare,0,1,1,467,1058,14,2022-10-23,647603,green,purple,1,Red,49,49,No Reward,common,1,1,Adolescents
228,348,O,real,17,common,0,2,2,716,1541,14,2022-10-23,654912,green,purple,2,Red,48,48,No Reward,rare,1,0,Adolescents
228,348,O,real,18,common,0,1,2,264,1242,14,2022-10-23,661473,green,purple,4,Purple,49,48,No Reward,common,2,0,Adolescents
228,348,O,real,19,common,0,1,1,1186,638,14,2022-10-23,668353,green,purple,3,Purple,49,49,No Reward,common,1,1,Adolescents
228,348,O,real,20,common,1,1,2,352,1251,14,2022-10-23,674993,green,purple,4,Purple,49,48,No Reward,common,1,1,Adolescents
228,348,O,real,21,common,1,2,1,1275,1925,14,2022-10-23,683233,green,purple,1,Red,48,49,Reward,common,1,0,Adolescents
228,348,O,real,23,common,1,2,1,2109,1651,14,2022-10-23,699992,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
228,348,O,real,24,common,1,1,2,1177,2009,14,2022-10-23,708232,green,purple,4,Purple,49,48,Reward,common,2,0,Adolescents
228,348,O,real,25,common,1,2,1,688,1528,14,2022-10-23,715483,green,purple,1,Red,48,49,Reward,common,1,0,Adolescents
228,348,O,real,27,common,0,2,1,1436,1785,14,2022-10-23,731962,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
228,348,O,real,28,common,1,1,2,795,1463,14,2022-10-23,739272,green,purple,4,Purple,49,48,No Reward,common,2,0,Adolescents
228,348,O,real,29,common,1,1,2,1269,911,14,2022-10-23,746493,green,purple,4,Purple,49,48,Reward,common,1,1,Adolescents
228,348,O,real,30,rare,1,1,1,335,2255,14,2022-10-23,753892,green,purple,1,Red,49,49,Reward,common,1,1,Adolescents
228,348,O,real,31,common,0,1,2,2289,2474,14,2022-10-23,762953,green,purple,4,Purple,49,48,Reward,rare,1,1,Adolescents
228,348,O,real,32,common,0,1,2,1940,1894,14,2022-10-23,771832,green,purple,4,Purple,49,48,No Reward,common,1,1,Adolescents
228,348,O,real,34,common,1,2,1,873,1223,14,2022-10-23,788053,green,purple,1,Red,48,49,No Reward,common,1,0,Adolescents
228,348,O,real,35,common,0,2,1,1800,1651,14,2022-10-23,796563,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
228,348,O,real,36,common,1,1,2,1530,1979,14,2022-10-23,805121,green,purple,4,Purple,49,48,No Reward,common,2,0,Adolescents
228,348,O,real,37,rare,1,1,1,349,1652,14,2022-10-23,812163,green,purple,1,Red,49,49,Reward,common,1,1,Adolescents
228,348,O,real,38,common,0,2,1,1194,1448,14,2022-10-23,819843,green,purple,1,Red,48,49,Reward,rare,1,0,Adolescents
228,348,O,real,39,rare,1,1,1,448,1977,14,2022-10-23,827322,green,purple,1,Red,49,49,No Reward,common,2,0,Adolescents
228,348,O,real,40,rare,1,1,1,419,1941,14,2022-10-23,834742,green,purple,1,Red,49,49,Reward,rare,1,1,Adolescents
228,348,O,real,41,common,0,1,1,1234,577,14,2022-10-23,841603,green,purple,3,Purple,49,49,Reward,rare,1,1,Adolescents
228,348,O,real,42,common,0,1,2,647,844,14,2022-10-23,848152,green,purple,4,Purple,49,48,No Reward,common,1,1,Adolescents
228,348,O,real,43,rare,1,1,1,1179,1605,14,2022-10-23,855973,green,purple,1,Red,49,49,No Reward,common,1,1,Adolescents
228,348,O,real,44,common,0,1,2,873,1481,14,2022-10-23,863363,green,purple,4,Purple,49,48,Reward,rare,1,1,Adolescents
228,348,O,real,47,common,1,2,1,1422,1313,14,2022-10-23,887232,green,purple,1,Red,48,49,No Reward,common,1,0,Adolescents
228,348,O,real,48,rare,0,2,2,347,1860,14,2022-10-23,894493,green,purple,4,Purple,48,48,Reward,common,2,1,Adolescents
228,348,O,real,50,rare,1,2,2,388,1966,14,2022-10-23,907983,green,purple,4,Purple,48,48,No Reward,rare,2,1,Adolescents
228,348,O,real,51,common,1,1,2,1658,1691,14,2022-10-23,929813,green,purple,4,Purple,49,48,Reward,rare,2,0,Adolescents
228,348,O,real,53,rare,1,2,1,623,1064,14,2022-10-23,945232,green,purple,3,Purple,48,49,Reward,common,1,0,Adolescents
228,348,O,real,54,rare,0,2,1,491,501,14,2022-10-23,951262,green,purple,3,Purple,48,49,Reward,rare,2,1,Adolescents
228,348,O,real,55,common,1,2,1,974,1521,14,2022-10-23,958793,green,purple,1,Red,48,49,No Reward,rare,2,1,Adolescents
228,348,O,real,56,rare,0,2,1,445,1159,14,2022-10-23,965453,green,purple,3,Purple,48,49,Reward,common,2,1,Adolescents
228,348,O,real,57,common,0,1,2,1142,1582,14,2022-10-23,973233,green,purple,4,Purple,49,48,No Reward,rare,2,0,Adolescents
228,348,O,real,59,common,1,2,1,676,463,14,2022-10-23,987192,green,purple,1,Red,48,49,No Reward,common,1,0,Adolescents
228,348,O,real,60,common,1,2,1,407,684,14,2022-10-23,993333,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
228,348,O,real,61,common,1,2,1,249,721,14,2022-10-23,999352,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
228,348,O,real,62,common,1,2,1,315,828,14,2022-10-23,1005532,green,purple,1,Red,48,49,Reward,common,2,1,Adolescents
