Participant.ID,Age
6117,10
288,10
5673,10
303,10
4172,10
5496,10
63,10
410,10
1416,10
7308,10
3527,10
338,10
152,10
373,10
197,10
83,10
4934,11
33,11
2085,11
4348,11
210,11
481,11
4582,11
592,11
4439,11
5322,11
5152,11
218,11
7612,12
105,12
5286,12
6072,12
5855,12
78,12
2559,12
5278,12
5534,12
5136,12
3785,13
4947,13
3193,13
7547,13
1981,13
45,13
2402,13
4173,13
240,13
467,13
302,13
626,14
5732,14
545,14
5302,14
390,14
4200,14
1843,14
1456,14
209,14
5332,14
566,14
7314,14
228,14
2915,15
5720,15
187,15
6696,15
6138,15
587,15
531,15
461,15
2715,15
551,15
429,16
4727,16
4924,16
4485,16
321,16
3790,16
266,16
3798,16
159,16
5303,17
41,17
4771,17
2804,17
75,17
4004,17
6416,17
5247,17
270,17
4486,18
5031,18
3206,18
5525,18
198,18
478,18
758,18
452,18
360,18
504,18
2430,18
406,18
2761,19
3978,19
5464,19
5323,19
1780,19
1,19
4459,19
2599,19
3880,19
4824,20
293,20
381,20
3457,20
5998,20
583,20
5772,20
6,20
318,21
3632,21
4314,21
2039,21
4868,21
17,21
304,21
5893,21
5314,21
5055,21
3535,21
4323,21
2040,21
6125,22
76,22
949,22
5139,22
5231,22
709,22
6215,22
200,22
4673,22
2791,22
3991,22
138,23
229,23
4533,23
174,23
285,23
404,23
4661,23
1571,23
140,24
5820,24
2068,24
389,24
595,24
44,24
6380,24
3330,24
3268,25
578,25
3547,25
3596,25
5359,25
412,25
3534,25
26,25
3054,25
