subject,probability,outcome,reject
4824,0,1,1
6143,0,0,0
6223,0,0,0
3785,0,0,0
2915,0,0,0
4486,0,0,0
5314,0,0,0
228,1,0,1
5136,0,0,0
3456,0,0,0
75,0,1,1
4004,1,0,1
120,0,0,0
6505,0,0,0
1,0,0,0
493,0,1,1
223,0,1,1
333,0,0,0
7612,0,0,0
318,0,0,0
5031,0,0,0
16,0,0,0
3790,0,0,0
210,0,0,0
4173,1,0,1
5055,0,0,0
26,0,0,0
4947,0,0,0
390,0,0,0
5286,0,0,0
3054,0,0,0
3632,0,0,0
288,0,0,0
3330,0,0,0
3386,0,0,0
6,0,0,0
3206,0,0,0
3193,0,0,0
2981,0,0,0
4294,0,0,0
6416,0,0,0
4200,0,0,0
240,0,0,0
105,0,0,0
3910,0,0,0
410,0,0,0
1843,0,0,0
429,0,0,0
4934,0,0,0
5673,0,0,0
293,0,0,0
2791,0,0,0
6072,0,0,0
7547,0,0,0
266,1,0,1
138,0,0,0
33,0,0,0
2085,0,0,0
1456,0,0,0
481,0,0,0
5720,0,0,0
303,0,0,0
125,1,0,1
5910,0,0,0
531,0,0,0
3535,0,0,0
1188,0,0,0
4661,0,0,0
140,0,0,0
1416,0,0,0
229,0,0,0
4323,0,0,0
1981,0,0,0
5915,1,1,2
626,0,0,0
7308,0,0,0
6521,0,0,0
2040,0,0,0
325,0,0,0
4727,0,0,0
5267,0,0,0
2883,0,0,0
4582,0,0,0
564,0,0,0
4895,0,0,0
592,1,1,2
4729,0,0,0
4459,0,0,0
2761,0,0,0
425,0,0,0
5820,0,0,0
198,0,0,0
1571,0,0,0
4348,0,0,0
4924,0,0,0
376,0,0,0
3798,0,0,0
4314,1,1,2
2715,0,1,1
338,1,1,2
467,0,0,0
2039,0,0,0
506,0,0,0
356,1,0,1
478,0,0,0
217,0,0,0
78,0,0,0
4172,0,0,0
381,0,0,0
302,0,0,0
6125,0,1,1
4439,0,0,0
5322,0,0,0
3978,0,1,1
3457,0,0,0
2068,1,1,2
5496,0,0,0
5963,0,0,0
3268,0,0,0
187,0,0,0
41,0,0,0
758,0,0,0
76,0,1,1
6631,0,0,0
45,0,0,0
3252,0,0,0
2559,0,0,0
159,0,1,1
209,0,1,1
2613,0,0,0
3991,0,1,1
5152,0,0,0
147,0,0,0
2402,0,0,0
406,0,0,0
452,0,0,0
132,0,0,0
4485,0,0,0
2599,0,0,0
5464,0,1,1
4204,0,0,0
360,0,0,0
578,0,0,0
3880,0,0,0
4533,0,0,0
4449,1,0,1
949,0,0,0
115,0,0,0
539,0,0,0
5247,0,0,0
389,0,0,0
503,0,0,0
5732,1,0,1
5139,0,0,0
4868,1,1,2
17,1,1,2
5998,0,0,0
400,1,1,2
5231,0,0,0
595,0,0,0
6696,0,0,0
709,0,1,1
5986,1,1,2
504,0,0,0
6215,0,0,0
2430,1,1,2
545,0,0,0
4771,0,0,0
44,0,0,0
5332,0,0,0
63,0,0,0
127,0,0,0
5774,0,0,0
152,0,0,0
4580,0,0,0
3547,0,0,0
200,0,0,0
304,0,0,0
5323,1,1,2
174,1,0,1
3596,0,0,0
270,0,0,0
3349,0,0,0
218,0,0,0
5302,0,0,0
4673,0,0,0
5359,0,0,0
7534,0,0,0
4329,0,0,0
551,0,0,0
566,1,1,2
285,0,0,0
2,0,0,0
5893,1,1,2
583,0,0,0
6380,1,1,2
373,0,0,0
197,0,0,0
7314,0,0,0
526,0,0,0
5772,0,1,1
206,0,0,0
267,0,1,1
321,0,0,0
2804,0,0,0
5495,0,0,0
5278,0,0,0
3534,1,1,2
2695,0,0,0
6138,0,0,0
83,0,0,0
404,0,0,0
1780,0,0,0
3219,1,1,2
4581,1,0,1
6205,0,0,0
6199,0,0,0
188,0,0,0
5985,1,1,2
3428,0,0,0
5243,0,0,0
7672,1,0,1
351,1,1,2
2336,0,0,0
4162,0,0,0
178,0,0,0
483,0,0,0
4772,0,0,0
5476,1,1,2
559,0,0,0
4683,0,0,0
3788,0,1,1
5477,0,0,0
4933,0,1,1
3350,0,0,0
4997,0,0,0
3935,0,0,0
426,0,0,0
5345,0,0,0
3447,0,0,0
3178,0,0,0
6159,0,0,0
102,0,0,0
5489,0,0,0
71,0,0,0
741,0,0,0
477,0,0,0
3585,0,0,0
230,0,0,0
301,0,0,0
3413,0,0,0
441,0,0,0
3077,0,0,0
6142,0,0,0
1876,0,0,0
5823,1,0,1
3981,0,1,1
3772,0,0,0
7676,0,0,0
3264,0,0,0
194,1,0,1
1065,0,0,0
7671,0,0,0
5634,0,0,0
2809,0,0,0
1462,0,0,0
9,0,0,0
5000,0,0,0
6040,0,0,0
60,0,0,0
346,0,0,0
25,0,0,0
6353,0,0,0
3106,0,0,0
4663,0,0,0
4448,0,0,0
4872,0,0,0
1801,1,1,2
5941,0,0,0
79,0,0,0
3237,0,0,0
4728,1,1,2
5030,0,0,0
584,0,0,0
543,0,1,1
3042,0,0,0
5372,0,0,0
7285,0,0,0
408,0,1,1
5172,0,0,0
74,0,0,0
214,0,0,0
5192,0,0,0
3966,0,0,0
6010,0,0,0
5120,0,0,0
256,0,0,0
2291,0,0,0
4303,0,0,0
480,0,0,0
4274,0,1,1
100,0,0,0
62,0,0,0
334,0,0,0
96,0,0,0
4538,0,0,0
502,0,0,0
191,0,1,1
710,0,0,0
5806,0,0,0
2300,0,0,0
1045,1,1,2
3912,0,0,0
6573,0,0,0
5712,1,0,1
3372,0,0,0
4584,0,0,0
327,0,0,0
5704,0,0,0
7625,0,0,0
4586,1,0,1
6507,0,0,0
2354,0,1,1
5349,1,0,1
5770,0,0,0
5038,0,0,0
6127,1,0,1
569,0,0,0
4461,0,0,0
6733,0,0,0
3965,0,0,0
4192,0,0,0
369,0,0,0
7048,0,0,0
6250,1,0,1
957,0,0,0
4862,0,0,0
4653,0,0,0
141,0,0,0
2386,0,1,1
29,0,0,0
3754,0,0,0
5843,0,1,1
5255,0,0,0
1851,0,0,0
5315,0,0,0
630,0,0,0
958,0,0,0
30,0,0,0
2153,0,0,0
453,0,0,0
