ID,num_trials,num_stage1_RT_lt150ms,per_stage1_RT_lt150ms,num_stage1_RT_gt2000ms,per_stage1_RT_gt2000ms,num_stage2_RT_lt150ms,per_stage2_RT_lt150ms,num_stage2_RT_gt2000ms,per_stage2_RT_gt2000ms,num_stage1_RT_sloworfast,per_stage1_RT_sloworfast,num_stage2_RT_sloworfast,per_stage2_RT_sloworfast,num_stay_rew_comm,per_stay_rew_common,num_stay_rew_rare,per_stay_rew_rare,num_stay_unrew_comm,per_stay_unrew_common,num_stay_unrew_rare,per_stay_unrew_rare,prob_worse_random_corr,num_trials_common_rew_V1,num_trials_rare_rew_V1,num_trials_common_unrew_V1,num_trials_rare_unrew_V1,exclude_crit1,exclude_crit2,exclude_crit3,exclude_crit4
4004,113,7,0.0619469026548673,0,0,3,0.0265486725663717,2,0.0176991150442478,7,0.0619469026548673,5,0.0442477876106195,43,1,15,1,38,1,17,1,1,43,15,38,17,0,0,0,0
75,187,26,0.13903743315508,0,0,0,0,1,0.0053475935828877,26,0.13903743315508,1,0.0053475935828877,66,1,34,1,65,1,22,1,1,66,34,65,22,0,0,0,0
6505,190,0,0,0,0,0,0,0,0,0,0,0,0,71,1,12,0.521739130434783,32,0.444444444444444,22,0.916666666666667,1,71,23,72,24,0,0,0,0
4486,190,5,0.0263157894736842,0,0,0,0,0,0,5,0.0263157894736842,0,0,69,1,39,0.951219512195122,44,0.88,25,0.833333333333333,1,69,41,50,30,0,0,0,0
228,187,0,0,4,0.0213903743315508,0,0,2,0.0106951871657754,4,0.0213903743315508,2,0.0106951871657754,68,1,36,1,62,1,21,1,1,68,36,62,21,0,0,0,0
1,188,113,0.601063829787234,1,0.00531914893617021,33,0.175531914893617,1,0.00531914893617021,114,0.606382978723404,34,0.180851063829787,70,1,24,1,65,1,29,1,1,70,24,65,29,1,1,0,1
4824,190,21,0.110526315789474,1,0.00526315789473684,0,0,1,0.00526315789473684,22,0.115789473684211,1,0.00526315789473684,67,1,35,1,57,0.904761904761905,22,0.88,1,67,35,63,25,0,0,0,0
3785,187,1,0.0053475935828877,5,0.0267379679144385,0,0,7,0.0374331550802139,6,0.0320855614973262,7,0.0374331550802139,43,0.682539682539683,16,0.571428571428571,42,0.617647058823529,18,0.642857142857143,0.998886234244506,63,28,68,28,0,0,0,0
3456,186,25,0.134408602150538,0,0,2,0.010752688172043,0,0,25,0.134408602150538,2,0.010752688172043,81,1,30,1,46,1,29,1,1,81,30,46,29,0,0,0,0
5314,187,15,0.0802139037433155,3,0.0160427807486631,1,0.0053475935828877,5,0.0267379679144385,18,0.0962566844919786,6,0.0320855614973262,71,1,29,1,59,1,28,1,1,71,29,59,28,0,0,0,0
4173,189,24,0.126984126984127,1,0.00529100529100529,1,0.00529100529100529,0,0,25,0.132275132275132,1,0.00529100529100529,65,1,22,1,62,1,40,1,1,65,22,62,40,0,0,0,0
5286,167,82,0.491017964071856,4,0.0239520958083832,64,0.383233532934132,4,0.0239520958083832,86,0.514970059880239,68,0.407185628742515,58,1,28,1,63,1,18,1,1,58,28,63,18,1,1,0,1
3632,187,11,0.0588235294117647,1,0.0053475935828877,1,0.0053475935828877,1,0.0053475935828877,12,0.0641711229946524,2,0.0106951871657754,79,1,32,1,59,1,17,1,1,79,32,59,17,0,0,0,0
3790,190,0,0,0,0,0,0,1,0.00526315789473684,0,0,1,0.00526315789473684,57,0.982758620689655,35,0.945945945945946,47,0.691176470588235,23,0.851851851851852,1,58,37,68,27,0,0,0,0
120,189,4,0.0211640211640212,0,0,0,0,1,0.00529100529100529,4,0.0211640211640212,1,0.00529100529100529,59,1,36,1,73,1,21,1,1,59,36,73,21,0,0,0,0
26,190,18,0.0947368421052632,2,0.0105263157894737,3,0.0157894736842105,1,0.00526315789473684,20,0.105263157894737,4,0.0210526315789474,62,0.939393939393939,22,0.916666666666667,42,0.591549295774648,22,0.758620689655172,0.999999999999999,66,24,71,29,0,0,0,0
5055,185,64,0.345945945945946,0,0,12,0.0648648648648649,3,0.0162162162162162,64,0.345945945945946,15,0.0810810810810811,63,1,29,1,69,1,24,1,1,63,29,69,24,1,1,0,1
7612,167,1,0.00598802395209581,9,0.0538922155688623,2,0.0119760479041916,12,0.0718562874251497,10,0.0598802395209581,14,0.0838323353293413,60,1,33,1,62,1,12,1,1,60,33,62,12,0,0,0,0
3206,186,3,0.0161290322580645,0,0,0,0,0,0,3,0.0161290322580645,0,0,69,1,37,1,59,1,21,1,1,69,37,59,21,0,0,0,0
3054,190,0,0,0,0,0,0,3,0.0157894736842105,0,0,3,0.0157894736842105,84,1,16,0.695652173913043,29,0.557692307692308,31,1,1,84,23,52,31,0,0,0,0
390,177,13,0.0734463276836158,5,0.0282485875706215,13,0.0734463276836158,6,0.0338983050847458,18,0.101694915254237,19,0.107344632768362,76,1,34,1,43,1,24,1,1,76,34,43,24,0,0,0,0
3193,190,1,0.00526315789473684,0,0,0,0,0,0,1,0.00526315789473684,0,0,64,0.96969696969697,28,0.903225806451613,47,0.723076923076923,20,0.714285714285714,1,66,31,65,28,0,0,0,0
3386,183,50,0.273224043715847,7,0.0382513661202186,29,0.158469945355191,13,0.0710382513661202,57,0.311475409836066,42,0.229508196721311,63,1,20,1,61,1,39,1,1,63,20,61,39,1,0,0,0
210,187,27,0.144385026737968,1,0.0053475935828877,2,0.0106951871657754,1,0.0053475935828877,28,0.149732620320856,3,0.0160427807486631,74,1,32,1,59,1,22,1,1,74,32,59,22,0,0,0,0
5031,171,23,0.134502923976608,8,0.0467836257309941,15,0.087719298245614,3,0.0175438596491228,31,0.181286549707602,18,0.105263157894737,61,1,27,1,56,1,27,1,1,61,27,56,27,0,0,0,0
4947,176,16,0.0909090909090909,8,0.0454545454545455,9,0.0511363636363636,10,0.0568181818181818,24,0.136363636363636,19,0.107954545454545,59,1,29,1,63,1,25,1,1,59,29,63,25,0,0,0,0
6416,189,23,0.121693121693122,2,0.0105820105820106,1,0.00529100529100529,0,0,25,0.132275132275132,1,0.00529100529100529,72,1,30,1,62,1,25,1,1,72,30,62,25,0,0,0,0
