participant_ID,age,missed_rt_2,missed_rt_2_gt_5,missed_rt_2_gt_10,missed_rt_2_gt_20,short_rt_2,short_rt_2_gt_5,short_rt_2_gt_10,short_rt_2_gt_20
83,10,0,0,0,0,0,0,0,0
159,16,0,0,0,0,66,1,1,1
3795,23,31,1,1,1,5,0,0,0
6138,15,0,0,0,0,0,0,0,0
6010,16,0,0,0,0,0,0,0,0
4172,10,0,0,0,0,4,0,0,0
3798,16,0,0,0,0,56,1,1,1
1787,23,2,0,0,0,125,1,1,1
481,12,0,0,0,0,11,1,1,0
5820,24,0,0,0,0,0,0,0,0
4348,11,0,0,0,0,0,0,0,0
197,10,3,0,0,0,43,1,1,1
3596,25,2,0,0,0,9,1,0,0
4653,25,0,0,0,0,0,0,0,0
1780,19,0,0,0,0,0,0,0,0
583,20,0,0,0,0,9,1,0,0
5673,10,0,0,0,0,10,1,0,0
3264,11,6,1,0,0,12,1,1,0
588,20,1,0,0,0,1,0,0,0
6215,22,0,0,0,0,0,0,0,0
404,24,2,0,0,0,5,0,0,0
7308,10,0,0,0,0,41,1,1,1
2039,21,0,0,0,0,0,0,0,0
498,15,0,0,0,0,1,0,0,0
5720,15,0,0,0,0,2,0,0,0
523,21,0,0,0,0,1,0,0,0
7534,23,0,0,0,0,0,0,0,0
5002,12,1,0,0,0,10,1,0,0
321,16,0,0,0,0,7,1,0,0
502,23,0,0,0,0,0,0,0,0
4673,22,0,0,0,0,1,0,0,0
5359,25,0,0,0,0,2,0,0,0
3457,20,0,0,0,0,0,0,0,0
2559,12,1,0,0,0,21,1,1,1
2791,22,1,0,0,0,45,1,1,1
1571,23,0,0,0,0,0,0,0,0
5496,10,0,0,0,0,2,0,0,0
4204,16,0,0,0,0,1,0,0,0
2613,11,12,1,1,0,45,1,1,1
5322,11,5,0,0,0,12,1,1,0
17,21,0,0,0,0,2,0,0,0
45,13,2,0,0,0,2,0,0,0
78,12,7,1,0,0,19,1,1,0
5247,17,0,0,0,0,49,1,1,1
5732,14,0,0,0,0,0,0,0,0
3178,13,3,0,0,0,2,0,0,0
7314,14,1,0,0,0,48,1,1,1
441,23,0,0,0,0,14,1,1,0
285,23,0,0,0,0,2,0,0,0
1416,10,0,0,0,0,12,1,1,0
2402,13,0,0,0,0,0,0,0,0
426,24,2,0,0,0,20,1,1,0
4727,16,13,1,1,0,0,0,0,0
138,23,0,0,0,0,0,0,0,0
26,25,0,0,0,0,3,0,0,0
3268,25,14,1,1,0,2,0,0,0
6979,25,1,0,0,0,17,1,1,0
461,15,1,0,0,0,46,1,1,1
5574,24,0,0,0,0,0,0,0,0
