participantId,age,missed_gt_5,missed_gt_10,short_rt_gt_5,short_rt_gt_10
5888,10,0,0,0,0
83,10,0,0,0,0
159,16,0,0,0,0
3795,23,0,0,0,0
6138,15,0,0,0,0
1487,16,0,0,0,0
6158,12,0,0,0,0
6010,16,0,0,0,0
318,21,0,0,0,0
3242,24,0,0,0,0
3225,12,0,0,1,1
4172,10,0,0,0,0
3798,16,0,0,0,0
5970,25,0,0,0,0
1787,23,0,0,1,1
481,11,0,0,0,0
5278,12,0,0,0,0
2844,10,0,0,0,0
3368,10,0,0,0,0
5820,24,0,0,0,0
4348,11,0,0,0,0
197,10,0,0,0,0
3596,25,0,0,0,0
4653,25,0,0,0,0
1780,19,0,0,0,0
583,20,0,0,0,0
957,23,0,0,0,0
5673,10,0,0,0,0
3264,11,0,0,0,0
8016,10,0,0,0,0
588,20,0,0,0,0
4862,15,0,0,0,0
5986,24,0,0,0,0
6215,22,0,0,0,0
404,23,0,0,0,0
7308,10,0,0,1,0
2039,21,0,0,0,0
498,15,0,0,0,0
4,20,0,0,0,0
2085,11,0,0,0,0
142,10,0,0,0,0
5720,15,0,0,0,0
371,20,0,0,0,0
523,21,0,0,0,0
7534,23,0,0,0,0
5002,12,0,0,0,0
321,16,0,0,0,0
5772,20,0,0,0,0
4824,20,0,0,0,0
5579,25,0,0,0,0
7831,22,0,0,0,0
493,22,0,0,0,0
502,23,0,0,0,0
4673,22,0,0,0,0
5359,25,0,0,0,0
3457,20,0,0,0,0
2559,12,0,0,0,0
223,25,0,0,0,0
188,24,0,0,0,0
2791,22,0,0,0,0
1571,23,0,0,0,0
5496,10,0,0,0,0
4204,16,0,0,0,0
2613,11,0,0,0,0
5322,11,0,0,0,0
125,20,0,0,0,0
17,21,0,0,0,0
6521,11,0,0,0,0
180,24,0,0,0,0
45,13,0,0,0,0
425,19,0,0,0,0
32,21,0,0,0,0
78,12,0,0,0,0
5247,17,0,0,0,0
5732,14,0,0,0,0
3178,13,0,0,0,0
272,25,0,0,0,0
7314,14,0,0,0,0
441,23,0,0,0,0
109,21,0,0,0,0
285,23,0,0,0,0
1416,10,0,0,0,0
376,14,0,0,0,0
727,10,0,0,0,0
2402,13,0,0,0,0
3447,23,1,1,1,1
4729,16,0,0,0,0
426,24,0,0,0,0
4727,16,0,0,0,0
437,13,0,0,0,0
138,23,0,0,0,0
26,25,0,0,0,0
3268,25,0,0,0,0
6569,10,0,0,0,0
6979,25,0,0,1,1
5487,10,0,0,1,0
4582,11,0,0,0,0
2715,15,0,0,0,0
2062,10,0,0,0,0
2883,17,0,0,0,0
338,10,0,0,0,0
4661,23,0,0,0,0
5465,10,0,0,0,0
430,25,0,0,0,0
6592,19,0,0,0,0
4772,18,0,0,0,0
429,16,0,0,0,0
6645,10,0,0,1,0
3638,16,0,0,0,0
28,14,0,0,0,0
422,13,0,0,0,0
4371,20,0,0,0,0
4314,21,0,0,0,0
5893,21,0,0,0,0
4533,23,0,0,0,0
2334,25,0,0,0,0
3350,15,0,0,0,0
102,10,0,0,0,0
293,20,0,0,0,0
6631,12,0,0,0,0
312,10,0,0,0,0
564,10,0,0,0,0
3790,16,0,0,0,0
561,22,0,0,0,0
6270,11,0,0,0,0
187,15,0,0,0,0
5267,10,0,0,0,0
1847,10,0,0,0,0
2291,11,0,0,0,0
804,22,0,0,0,0
3428,23,0,0,0,0
626,14,0,0,0,0
16,19,0,0,0,0
229,23,0,0,1,1
3991,22,0,0,0,0
3746,22,0,0,0,0
2627,21,0,0,0,0
388,20,0,0,0,0
3534,25,0,0,0,0
369,25,0,0,0,0
2354,25,0,0,0,0
1900,19,0,0,0,0
1701,20,0,0,0,0
487,24,0,0,0,0
7625,23,0,0,0,0
5477,21,0,0,0,0
3330,24,0,0,0,0
5314,21,0,0,0,0
53,14,0,0,1,1
1624,14,0,0,1,1
302,13,0,0,0,0
7671,13,0,0,0,0
1876,10,0,0,0,0
4947,13,0,0,0,0
210,11,0,0,0,0
323,14,0,0,0,0
5255,11,0,0,0,0
228,14,0,0,0,0
3456,14,0,0,0,0
5478,13,0,0,0,0
5371,25,0,0,0,0
181,22,0,0,0,0
4200,14,0,0,0,0
240,13,0,0,0,0
6416,17,0,0,0,0
531,15,0,0,0,0
467,13,0,0,0,0
147,11,0,0,0,0
400,10,0,0,0,0
7612,12,0,0,0,0
1456,14,0,0,1,0
33,11,0,0,0,0
4004,17,0,0,0,0
5985,16,0,0,0,0
2153,16,0,0,0,0
3413,12,0,0,0,0
592,11,0,0,0,0
236,10,0,0,0,0
7547,13,0,0,0,0
6072,12,0,0,0,0
266,16,0,0,0,0
1981,13,0,0,0,0
218,11,0,0,0,0
5495,14,0,0,0,0
5963,11,0,0,0,0
3632,21,0,0,0,0
545,14,0,0,0,0
5372,20,0,0,0,0
5634,12,0,0,0,0
1982,10,0,0,0,0
1843,14,0,0,0,0
3054,25,0,0,0,0
7273,20,0,0,0,0
1045,16,1,1,1,1
630,13,0,0,0,0
3608,10,0,0,1,0
267,20,0,0,0,0
4323,21,0,0,0,0
75,17,0,0,0,0
205,25,0,0,0,0
5910,11,0,0,0,0
327,13,0,0,0,0
4303,10,0,0,0,0
662,16,0,0,0,0
105,12,0,0,0,0
5332,14,0,0,0,0
63,10,0,0,0,0
4173,13,0,0,0,0
5286,12,1,0,1,1
6142,10,0,0,1,0
325,19,0,0,0,0
504,18,0,0,0,0
4449,14,0,0,1,1
5055,21,0,0,0,0
137,12,0,0,0,0
5843,18,0,0,0,0
2430,18,0,0,0,0
3535,21,0,0,0,0
5316,14,0,0,1,1
6223,17,0,0,0,0
3386,22,0,0,0,0
524,22,0,0,0,0
4459,19,0,0,0,0
1597,15,0,0,0,0
3943,11,0,0,0,0
333,18,0,0,1,0
6199,21,0,0,0,0
356,16,0,0,0,0
477,14,0,0,0,0
107,24,0,0,0,0
326,24,0,0,0,0
6240,13,0,0,0,0
574,15,0,0,0,0
5136,12,0,0,1,1
539,12,0,0,0,0
3372,22,0,0,0,0
390,14,0,0,1,0
3785,13,0,0,0,0
4666,24,0,0,0,0
709,22,0,0,0,0
506,15,0,0,0,0
3252,13,0,0,1,0
4924,16,0,0,0,0
4439,11,0,0,0,0
2915,15,0,0,0,0
115,15,0,0,0,0
3206,18,0,0,0,0
3193,13,0,0,1,0
7927,12,0,0,0,0
3367,25,0,0,0,0
6877,20,0,0,1,1
7836,20,0,0,0,0
5915,17,0,0,0,0
452,18,0,0,0,0
357,19,0,0,0,0
4918,16,0,0,0,0
4352,16,0,0,0,0
5302,14,0,0,0,0
2040,21,0,0,0,0
6159,23,0,0,0,0
483,18,0,0,0,0
566,14,0,0,0,0
2981,19,0,0,0,0
6,20,0,0,0,0
3910,19,0,0,0,0
6505,14,0,0,0,0
6143,18,0,0,0,0
4486,18,0,0,0,0
120,18,0,0,0,0
1,19,0,0,0,0
1188,18,0,0,0,0
360,18,0,0,0,0
478,18,0,0,0,0
198,18,0,0,0,0
4895,18,0,0,0,0
217,18,0,0,0,0
503,14,0,0,0,0
4934,11,0,0,0,0
303,10,0,0,0,0
206,14,0,0,0,0
5031,18,0,0,0,0
2761,19,0,0,0,0
410,10,0,0,0,0
