	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-30600.0	0.4527	36.6	36.82	-30680.0	-30600.0	-30530.0	6557.0	15020.0	0.05563	1.0
theta_mu[1,1]	1.13	0.001606	0.09924	0.09873	0.9432	1.127	1.331	3847.0	9354.0	0.03264	1.001
theta_mu[1,2]	1.174	0.001739	0.1054	0.1052	0.9764	1.171	1.388	3671.0	8590.0	0.03115	1.001
theta_mu[2,1]	0.2772	0.0004673	0.0219	0.02174	0.234	0.2773	0.3202	2200.0	4974.0	0.01867	1.001
theta_mu[2,2]	0.232	0.0004798	0.02197	0.02203	0.1887	0.2321	0.2748	2110.0	4764.0	0.01791	1.001
theta_mu[3,1]	-0.03177	0.0004045	0.01931	0.0192	-0.06952	-0.03181	0.006042	2277.0	4605.0	0.01932	1.001
theta_mu[3,2]	-0.01382	0.0003909	0.01904	0.01886	-0.05106	-0.01396	0.02393	2372.0	4995.0	0.02013	1.001
theta_mu[4,1]	-1.204	0.001127	0.07695	0.07656	-1.357	-1.204	-1.055	4677.0	9733.0	0.03968	1.001
theta_mu[4,2]	-1.2	0.001346	0.08222	0.08163	-1.363	-1.199	-1.04	3730.0	7465.0	0.03165	1.001
theta_c_pr[1,1]	1.948	0.003222	0.6275	0.626	0.8434	1.91	3.283	38530.0	30800.0	0.3269	1.0
theta_c_pr[1,2]	-0.9416	0.0021	0.1343	0.1337	-1.211	-0.9396	-0.6844	4128.0	10610.0	0.03502	1.001
theta_c_pr[1,3]	0.6326	0.003462	0.5319	0.498	-0.1836	0.5518	1.891	24470.0	26260.0	0.2076	1.0
theta_c_pr[1,4]	-0.7357	0.003239	0.3072	0.2267	-1.162	-0.7919	0.04872	8006.0	14230.0	0.06793	1.001
theta_c_pr[1,5]	1.435	0.01558	0.9793	1.038	-0.3272	1.516	3.242	4290.0	10190.0	0.0364	1.001
theta_c_pr[1,6]	-0.3932	0.002568	0.2958	0.2464	-0.8394	-0.4384	0.3241	13130.0	17740.0	0.1114	1.0
theta_c_pr[1,7]	1.412	0.003261	0.5059	0.494	0.5569	1.364	2.535	24820.0	27380.0	0.2106	1.0
theta_c_pr[1,8]	-0.2849	0.002059	0.1915	0.1853	-0.6335	-0.2946	0.1197	8537.0	18300.0	0.07243	1.0
theta_c_pr[1,9]	-0.1483	0.003227	0.4086	0.35	-0.7384	-0.2199	0.8663	16570.0	19610.0	0.1406	1.0
theta_c_pr[1,10]	-0.9118	0.003756	0.3443	0.2042	-1.324	-0.9837	0.07369	7875.0	11100.0	0.06681	1.0
theta_c_pr[1,11]	0.3707	0.003428	0.5575	0.5265	-0.4699	0.281	1.68	27850.0	26260.0	0.2363	1.0
theta_c_pr[1,12]	1.35	0.003524	0.5965	0.5912	0.3509	1.295	2.664	29310.0	28530.0	0.2486	1.0
theta_c_pr[1,13]	-0.9145	0.004335	0.3813	0.2157	-1.348	-0.9989	0.1772	8026.0	9773.0	0.06809	1.001
theta_c_pr[1,14]	-0.7662	0.005048	0.8114	0.6693	-1.935	-0.9705	1.191	29790.0	26880.0	0.2528	1.0
theta_c_pr[1,15]	0.3018	0.003525	0.5351	0.4873	-0.4726	0.2069	1.589	23790.0	26270.0	0.2018	1.0
theta_c_pr[1,16]	-0.868	0.004252	0.3426	0.1957	-1.272	-0.937	0.1145	6832.0	8367.0	0.05797	1.0
theta_c_pr[1,17]	0.2202	0.00581	0.4263	0.314	-0.3528	0.1418	1.387	8190.0	5017.0	0.06949	1.001
theta_c_pr[1,18]	-0.5939	0.003388	0.3537	0.2684	-1.07	-0.6609	0.3113	11880.0	14180.0	0.1008	1.0
theta_c_pr[1,19]	0.01616	0.004167	0.7187	0.7117	-1.044	-0.09463	1.662	28990.0	26970.0	0.246	1.0
