subject,stan_idx
83,1
159,2
6138,3
4172,4
3798,5
5278,6
5820,7
4348,8
197,9
3596,10
1780,11
583,12
5673,13
6215,14
404,15
7308,16
2039,17
2085,18
5720,19
7534,20
321,21
4824,22
4673,23
5359,24
3457,25
2559,26
223,27
2791,28
1571,29
5496,30
17,31
6521,32
45,33
78,34
5247,35
5732,36
7314,37
285,38
2402,39
4729,40
4727,41
138,42
26,43
3268,44
4582,45
461,46
2715,47
174,48
4661,49
429,50
5855,51
4314,52
5893,53
4533,54
293,55
6631,56
3790,57
5267,58
626,59
3991,60
3534,61
3330,62
5314,63
302,64
4947,65
210,66
228,67
3456,68
4200,69
240,70
6416,71
7612,72
1456,73
33,74
4004,75
592,76
7547,77
6072,78
266,79
1981,80
218,81
5963,82
3632,83
1843,84
587,85
3054,86
75,87
105,88
5332,89
63,90
4173,91
5286,92
504,93
5055,94
2430,95
3535,96
3386,97
4459,98
5136,99
390,100
709,101
506,102
4924,103
4439,104
2915,105
115,106
3206,107
3193,108
452,109
2040,110
6,111
4486,112
1,113
360,114
478,115
198,116
217,117
4934,118
303,119
2761,120
410,121
3349,122
200,123
44,124
5152,125
5525,126
551,127
41,128
3547,129
76,130
2068,131
4868,132
381,133
5231,134
758,135
6380,136
6125,137
3978,138
209,139
270,140
5464,141
5998,142
2599,143
304,144
406,145
4771,146
3880,147
595,148
5139,149
578,150
6696,151
5323,152
373,153
152,154
5534,155
