	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-31250.0	0.4847	42.95	42.6	-31330.0	-31250.0	-31160.0	7846.0	15980.0	0.06142	1.0
theta_mu[1,1]	1.075	0.001418	0.1089	0.1078	0.8714	1.071	1.302	5867.0	13470.0	0.04593	1.001
theta_mu[1,2]	1.072	0.001408	0.1082	0.107	0.8725	1.068	1.298	5861.0	13240.0	0.04588	1.0
theta_mu[2,1]	1.264	0.001189	0.1202	0.1193	1.042	1.26	1.514	10220.0	19020.0	0.08002	1.0
theta_mu[2,2]	1.19	0.00162	0.1225	0.1221	0.9675	1.184	1.448	5819.0	12630.0	0.04555	1.001
theta_mu[3,1]	0.2891	0.0003542	0.02181	0.02177	0.2467	0.289	0.3323	3785.0	7668.0	0.02963	1.001
theta_mu[3,2]	0.2338	0.0003588	0.02186	0.02178	0.191	0.2337	0.277	3709.0	8014.0	0.02903	1.001
theta_mu[4,1]	-0.03336	0.0003169	0.01904	0.01892	-0.07071	-0.0335	0.004152	3628.0	7975.0	0.0284	1.001
theta_mu[4,2]	-0.01414	0.0003295	0.01917	0.01912	-0.05192	-0.01405	0.02345	3397.0	6811.0	0.02659	1.001
theta_mu[5,1]	-1.184	0.001089	0.08389	0.08411	-1.351	-1.184	-1.022	5942.0	12520.0	0.04652	1.001
theta_mu[5,2]	-1.132	0.001176	0.08547	0.08544	-1.302	-1.132	-0.9662	5281.0	10720.0	0.04134	1.001
theta_mu[6,1]	-1.35	0.0009325	0.08517	0.08577	-1.518	-1.351	-1.184	8374.0	15970.0	0.06556	1.0
theta_mu[6,2]	-1.242	0.001134	0.09049	0.09037	-1.422	-1.241	-1.068	6368.0	13770.0	0.04986	1.0
theta_c_pr[1,1]	1.038	0.002989	0.5957	0.5741	0.06159	0.9697	2.384	40640.0	30920.0	0.3181	1.0
theta_c_pr[1,2]	-0.8821	0.002089	0.162	0.1585	-1.205	-0.8799	-0.5703	5989.0	14020.0	0.04689	1.001
theta_c_pr[1,3]	0.2548	0.002692	0.3925	0.3616	-0.3805	0.209	1.164	22560.0	25210.0	0.1766	1.0
theta_c_pr[1,4]	-0.5822	0.003799	0.5022	0.3585	-1.234	-0.6986	0.7738	18100.0	21100.0	0.1417	1.0
theta_c_pr[1,5]	0.1095	0.01351	0.7472	0.5592	-0.8137	-0.1139	2.01	3736.0	10390.0	0.02925	1.001
theta_c_pr[1,6]	-0.06893	0.002881	0.4195	0.3591	-0.6889	-0.1385	0.9666	22050.0	22820.0	0.1726	1.0
theta_c_pr[1,7]	1.192	0.003076	0.5913	0.5831	0.2035	1.135	2.5	37720.0	30130.0	0.2953	1.0
theta_c_pr[1,8]	0.8349	0.004086	0.5031	0.4824	0.007972	0.7782	1.968	15140.0	26720.0	0.1185	1.0
theta_c_pr[1,9]	-0.2469	0.003659	0.352	0.2951	-0.7651	-0.3076	0.6122	9180.0	18750.0	0.07187	1.001
theta_c_pr[1,10]	-0.928	0.002851	0.2334	0.1794	-1.297	-0.9482	-0.4059	6621.0	12130.0	0.05183	1.0
theta_c_pr[1,11]	0.5343	0.003296	0.5896	0.5714	-0.3904	0.4561	1.891	33000.0	29680.0	0.2584	1.0
theta_c_pr[1,12]	0.7954	0.00291	0.542	0.5202	-0.08435	0.7311	2.022	37580.0	28470.0	0.2942	1.0
theta_c_pr[1,13]	-0.2936	0.004273	0.6357	0.5461	-1.12	-0.4481	1.295	26870.0	27840.0	0.2104	1.0
theta_c_pr[1,14]	-0.6779	0.003795	0.738	0.6407	-1.843	-0.8034	1.065	42650.0	28200.0	0.3339	1.0
theta_c_pr[1,15]	0.6823	0.003109	0.5432	0.5206	-0.1744	0.6121	1.93	31560.0	28570.0	0.2471	1.0
theta_c_pr[1,16]	-0.2467	0.003681	0.6034	0.5075	-1.03	-0.394	1.263	30200.0	26040.0	0.2364	1.0
theta_c_pr[1,17]	0.3402	0.004275	0.4616	0.3803	-0.3271	0.2607	1.525	15950.0	11330.0	0.1249	1.0
theta_c_pr[1,18]	-0.1375	0.004532	0.6484	0.5932	-1.017	-0.2758	1.418	22410.0	26360.0	0.1755	1.0
theta_c_pr[1,19]	-0.1165	0.003636	0.6476	0.5969	-1.019	-0.2445	1.449	35100.0	29430.0	0.2748	1.0
theta_c_pr[1,20]	1.938	0.002786	0.6516	0.6484	0.7856	1.9	3.314	56170.0	29760.0	0.4397	1.0
theta_c_pr[1,21]	-0.7601	0.002409	0.2179	0.1835	-1.128	-0.7767	-0.293	8166.0	14010.0	0.06393	1.0
theta_c_pr[1,22]	-1.582	0.004315	0.5932	0.4002	-2.551	-1.643	0.03002	23170.0	15380.0	0.1814	1.0
theta_c_pr[1,23]	0.5434	0.002364	0.3687	0.357	-0.09271	0.5131	1.351	24600.0	27140.0	0.1926	1.0
theta_c_pr[1,24]	-0.4806	0.003439	0.3178	0.2402	-0.9357	-0.5298	0.3112	10410.0	9883.0	0.08153	1.0
theta_c_pr[1,25]	1.435	0.002847	0.6155	0.6081	0.3833	1.381	2.778	49540.0	29300.0	0.3878	1.0
theta_c_pr[1,26]	1.231	0.002854	0.6377	0.6359	0.155	1.177	2.636	52000.0	31420.0	0.407	1.0
theta_c_pr[1,27]	1.376	0.002986	0.6565	0.6589	0.2471	1.326	2.787	49760.0	27700.0	0.3896	1.0
theta_c_pr[1,28]	-0.4478	0.004639	0.6735	0.5753	-1.301	-0.6235	1.232	25050.0	27230.0	0.1961	1.0
theta_c_pr[1,29]	-0.4784	0.003173	0.3958	0.2874	-1.003	-0.5592	0.5582	16690.0	17630.0	0.1307	1.0
theta_c_pr[1,30]	-0.6529	0.00314	0.3636	0.2608	-1.138	-0.7231	0.2905	12440.0	16920.0	0.09737	1.0
theta_c_pr[1,31]	1.753	0.002713	0.6258	0.6164	0.6541	1.713	3.084	54900.0	29180.0	0.4298	1.0
theta_c_pr[1,32]	-1.065	0.004218	0.5327	0.3174	-1.835	-1.159	0.4438	21290.0	14810.0	0.1667	1.0
theta_c_pr[1,33]	-0.9014	0.004589	0.7649	0.6085	-2.035	-1.075	0.9829	33990.0	25990.0	0.2661	1.0
theta_c_pr[1,34]	-0.505	0.00381	0.6927	0.5954	-1.48	-0.6601	1.189	40350.0	28840.0	0.3159	0.9999
theta_c_pr[1,35]	-0.7097	0.00229	0.2125	0.1894	-1.083	-0.7217	-0.2716	8407.0	15690.0	0.06581	1.0
theta_c_pr[1,36]	0.9606	0.00346	0.4608	0.4481	0.1655	0.9225	1.969	18140.0	25290.0	0.142	1.0
theta_c_pr[1,37]	-0.7704	0.004373	0.5321	0.3124	-1.366	-0.932	0.73	15520.0	19090.0	0.1215	1.0
theta_c_pr[1,38]	2.132	0.002884	0.6414	0.6403	0.9868	2.096	3.495	51290.0	29150.0	0.4015	1.0
theta_c_pr[1,39]	1.897	0.002925	0.6286	0.6286	0.7781	1.863	3.234	48150.0	28870.0	0.3769	1.0
theta_c_pr[1,40]	-1.065	0.00454	0.7712	0.607	-2.281	-1.204	0.8438	34000.0	26870.0	0.2662	1.0
theta_c_pr[1,41]	-0.9786	0.00464	0.7955	0.655	-2.202	-1.134	0.9716	34360.0	27240.0	0.269	1.0
