parameter,label,age_group,icc,icc_ci_lo,icc_ci_hi,n
b1,Reward sens.,10-15 years old,0.6448732513500006,0.5062183050078484,0.7626519893818295,55
b1,Reward sens.,15-20 years old,0.7573104015047883,0.6201794012624762,0.866010414130807,47
b1,Reward sens.,20-25 years old,0.7596186535900687,0.6138110455698212,0.8632818823234426,51
b2,Punish. sens.,10-15 years old,0.6947500542658652,0.5373595840608197,0.7977603062212146,55
b2,Punish. sens.,15-20 years old,0.5112325393163012,0.3633955016077628,0.6547065202837352,47
b2,Punish. sens.,20-25 years old,0.6784262268894942,0.5438052793842654,0.7955818804540356,51
b3,Approach bias,10-15 years old,0.671414881660044,0.5397928279090839,0.7765182792107566,55
b3,Approach bias,15-20 years old,0.6933272573502047,0.5224669720105446,0.8214640932829463,47
b3,Approach bias,20-25 years old,0.5686393996711883,0.3851286496656466,0.7211137965093317,51
b4,Avoid. bias,10-15 years old,0.6452703365025019,0.41399584638525516,0.8572632445677562,55
b4,Avoid. bias,15-20 years old,0.6267094408063394,0.3953671728405051,0.8068961593220191,47
b4,Avoid. bias,20-25 years old,0.4722125340934946,0.3061877714522234,0.6733367396094782,51
a1,LR positive,10-15 years old,0.9131018018480327,0.8185760584504781,0.9596366688745908,55
a1,LR positive,15-20 years old,0.9269324249399389,0.8419847378340052,0.9620471836646941,47
a1,LR positive,20-25 years old,0.8862111363292107,0.8042084818824536,0.9389723353837253,51
a2,LR negative,10-15 years old,0.8718606940502248,0.6681533189891118,0.9359186763394285,55
a2,LR negative,15-20 years old,0.8941371799239153,0.7896013443707487,0.9469007758249214,47
a2,LR negative,20-25 years old,0.8918761983006669,0.7826036124376159,0.9387970083606855,51
