parameter,label,age_group,icc,icc_ci_lo,icc_ci_hi,n
b1,Inverse temp.,10-15 years old,0.5802329156828514,0.4330557351587891,0.7201730519941036,57
b1,Inverse temp.,15-20 years old,0.6544465174654772,0.519980165383233,0.7794911356752672,45
b1,Inverse temp.,20-25 years old,0.7870289546340937,0.689629939573007,0.8639342709663861,57
a1,LR chosen +PE,10-15 years old,0.3980850352614528,0.2807914789546028,0.5298772985943951,57
a1,LR chosen +PE,15-20 years old,0.5968921605358956,0.4300276987650038,0.7510533368594786,45
a1,LR chosen +PE,20-25 years old,0.5849907376395387,0.4660925485690558,0.6981362068635513,57
a2,LR chosen −PE,10-15 years old,0.5636486615796905,0.4088030555671712,0.7285950301730617,57
a2,LR chosen −PE,15-20 years old,0.5408136481654038,0.37123143713840506,0.7100654859650047,45
a2,LR chosen −PE,20-25 years old,0.4348804419632387,0.30790856208378575,0.5808222668480966,57
a3,LR unch. +PE,10-15 years old,0.581164154012364,0.4601853106344447,0.7142690034605784,57
a3,LR unch. +PE,15-20 years old,0.5203322401539932,0.3799061824500404,0.6666959265458355,45
a3,LR unch. +PE,20-25 years old,0.5094968595440805,0.3843256394203774,0.634265438761278,57
a4,LR unch. −PE,10-15 years old,0.723338121485981,0.5993320329889211,0.8219579904623338,57
a4,LR unch. −PE,15-20 years old,0.7217837488906039,0.553291945062265,0.8487064293119664,45
a4,LR unch. −PE,20-25 years old,0.7133599489000587,0.5790762116672244,0.8255317593065762,57
q0,Initial $q_0$,10-15 years old,0.682949301145379,0.5381386214339059,0.7925118609705151,57
q0,Initial $q_0$,15-20 years old,0.7040071880958257,0.5117987732612034,0.8679732461149534,45
q0,Initial $q_0$,20-25 years old,0.5880416827284725,0.4571230748977684,0.718155698055563,57
