	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-37300.0	0.5093	44.0	43.74	-37380.0	-37300.0	-37210.0	7481.0	15580.0	0.4014	1.0
theta_mu[1,1]	0.6076	0.0005251	0.02738	0.02732	0.5549	0.6073	0.6619	2728.0	6153.0	0.1464	1.002
theta_mu[1,2]	0.6961	0.0005177	0.02811	0.02818	0.6419	0.6958	0.7519	2958.0	6416.0	0.1587	1.002
theta_mu[2,1]	-0.449	0.0002722	0.03896	0.03888	-0.5255	-0.4494	-0.3725	20520.0	27820.0	1.101	1.0
theta_mu[2,2]	-0.417	0.0002677	0.03925	0.03921	-0.4934	-0.4172	-0.34	21500.0	27340.0	1.154	1.0
theta_mu[3,1]	-1.397	0.0003809	0.04373	0.04342	-1.484	-1.396	-1.313	13200.0	20920.0	0.7081	1.0
theta_mu[3,2]	-1.302	0.000368	0.04147	0.04132	-1.385	-1.301	-1.223	12710.0	20510.0	0.6821	1.0
theta_mu[4,1]	-1.315	0.0005585	0.05269	0.05243	-1.421	-1.315	-1.214	8889.0	16080.0	0.477	1.0
theta_mu[4,2]	-1.221	0.0005245	0.04944	0.04951	-1.319	-1.22	-1.126	8890.0	17100.0	0.4771	1.001
theta_mu[5,1]	-0.4777	0.0002915	0.03857	0.03812	-0.5529	-0.4778	-0.401	17510.0	24320.0	0.9394	1.0
theta_mu[5,2]	-0.3573	0.0002812	0.03843	0.03826	-0.4326	-0.3576	-0.2821	18660.0	27100.0	1.002	1.0
theta_mu[6,1]	0.2072	0.0006237	0.04164	0.04158	0.1279	0.2068	0.2906	4468.0	10140.0	0.2398	1.001
theta_mu[6,2]	0.1608	0.00063	0.041	0.04107	0.08148	0.1606	0.2422	4234.0	9252.0	0.2272	1.001
theta_c_pr[1,1]	0.9985	0.002533	0.3706	0.3638	0.3349	0.9758	1.78	21490.0	26530.0	1.153	1.0
theta_c_pr[1,2]	0.3299	0.002001	0.2561	0.2538	-0.144	0.319	0.8608	16270.0	24510.0	0.8731	1.0
theta_c_pr[1,3]	1.39	0.002768	0.4245	0.4168	0.6364	1.364	2.299	23690.0	27670.0	1.271	1.0
theta_c_pr[1,4]	-0.6106	0.002253	0.2206	0.2165	-1.016	-0.6187	-0.1458	9537.0	19440.0	0.5117	1.001
theta_c_pr[1,5]	-0.3561	0.002417	0.2578	0.2502	-0.8178	-0.3723	0.1917	11180.0	20430.0	0.6002	1.0
theta_c_pr[1,6]	1.389	0.002992	0.4389	0.431	0.6091	1.361	2.319	21870.0	25890.0	1.174	1.0
theta_c_pr[1,7]	-0.4366	0.002176	0.1904	0.1886	-0.7951	-0.4409	-0.04539	7625.0	14770.0	0.4092	1.001
theta_c_pr[1,8]	0.8026	0.002366	0.3185	0.3132	0.2248	0.7855	1.472	18060.0	24400.0	0.9688	1.0
theta_c_pr[1,9]	1.657	0.002981	0.4576	0.4516	0.8433	1.629	2.631	23870.0	26810.0	1.281	1.0
theta_c_pr[1,10]	1.965	0.003258	0.4943	0.493	1.074	1.937	3.003	23300.0	27140.0	1.251	1.0
theta_c_pr[1,11]	0.2604	0.002214	0.2745	0.2712	-0.2428	0.2465	0.8346	15400.0	26120.0	0.8264	1.0
theta_c_pr[1,12]	-0.07633	0.002142	0.2494	0.2442	-0.534	-0.08775	0.4496	13530.0	23630.0	0.7259	1.0
theta_c_pr[1,13]	0.7898	0.002481	0.3325	0.3283	0.194	0.7693	1.494	17590.0	25970.0	0.944	1.0
theta_c_pr[1,14]	-0.6009	0.002269	0.232	0.2276	-1.032	-0.6093	-0.1199	10400.0	20150.0	0.5578	1.001
theta_c_pr[1,15]	-0.1799	0.002202	0.2512	0.2468	-0.63	-0.1935	0.3533	12960.0	21860.0	0.6953	1.0
theta_c_pr[1,16]	0.2448	0.002073	0.223	0.2213	-0.1633	0.2346	0.7095	11480.0	23330.0	0.6163	1.001
theta_c_pr[1,17]	0.9058	0.002268	0.3361	0.3298	0.2994	0.8882	1.615	22000.0	26290.0	1.181	1.0
theta_c_pr[1,18]	-0.07062	0.002088	0.2442	0.2428	-0.5274	-0.0794	0.432	13530.0	21800.0	0.7258	1.0
theta_c_pr[1,19]	-0.2612	0.00218	0.2416	0.2373	-0.7048	-0.2712	0.2409	12010.0	20130.0	0.6443	1.001
theta_c_pr[1,20]	0.006082	0.0021	0.2368	0.2334	-0.432	-0.004202	0.4965	12680.0	21350.0	0.6802	1.0
theta_c_pr[1,21]	-0.2062	0.002074	0.2348	0.233	-0.637	-0.216	0.2821	12650.0	20930.0	0.6788	1.0
theta_c_pr[1,22]	0.1902	0.002251	0.2845	0.2773	-0.3225	0.1735	0.7952	15940.0	24250.0	0.8555	1.0
theta_c_pr[1,23]	-1.491	0.00267	0.1814	0.1809	-1.851	-1.489	-1.14	4633.0	12120.0	0.2486	1.001
theta_c_pr[1,24]	0.3196	0.002059	0.2613	0.2574	-0.1603	0.3075	0.8651	15940.0	24280.0	0.8552	1.0
theta_c_pr[1,25]	0.4136	0.002347	0.3072	0.3012	-0.1358	0.3946	1.067	17170.0	23560.0	0.9216	1.0
theta_c_pr[1,26]	0.7659	0.002321	0.3145	0.31	0.1941	0.7484	1.432	18500.0	24460.0	0.9926	1.0
theta_c_pr[1,27]	2.687	0.003144	0.5604	0.5581	1.671	2.658	3.863	32340.0	28330.0	1.735	1.0
theta_c_pr[1,28]	0.8345	0.002227	0.2799	0.2773	0.3238	0.8205	1.418	15800.0	25650.0	0.8477	1.0
theta_c_pr[1,29]	0.5654	0.002324	0.3135	0.3079	0.002296	0.5459	1.229	18350.0	25300.0	0.9846	1.0
theta_c_pr[1,30]	0.6856	0.002314	0.3149	0.3103	0.1132	0.6727	1.347	18570.0	26620.0	0.9964	1.0
