subject,stan_idx
83,1
159,2
6138,3
318,4
4172,5
3798,6
481,7
5278,8
5820,9
4348,10
197,11
3596,12
1780,13
583,14
5673,15
6215,16
404,17
7308,18
2039,19
2085,20
5720,21
321,22
5772,23
4824,24
4673,25
5359,26
3457,27
2559,28
2791,29
1571,30
5496,31
5322,32
17,33
45,34
78,35
5247,36
5732,37
7314,38
285,39
2402,40
4727,41
138,42
26,43
3268,44
4582,45
2715,46
174,47
338,48
4661,49
429,50
4314,51
5893,52
4533,53
293,54
3790,55
187,56
412,57
626,58
229,59
3991,60
3534,61
3330,62
5314,63
302,64
4947,65
210,66
228,67
4200,68
240,69
6416,70
531,71
467,72
7612,73
33,74
592,75
7547,76
6072,77
266,78
1981,79
218,80
3632,81
545,82
1843,83
587,84
3054,85
4323,86
75,87
105,88
5332,89
63,90
4173,91
5286,92
504,93
5055,94
2430,95
3535,96
4459,97
5136,98
390,99
3785,100
709,101
4924,102
4439,103
2915,104
3206,105
3193,106
452,107
5302,108
2040,109
566,110
6,111
4486,112
1,113
360,114
478,115
198,116
4934,117
303,118
5031,119
2761,120
410,121
288,122
140,123
200,124
44,125
5152,126
4485,127
551,128
41,129
3547,130
76,131
2068,132
4868,133
381,134
5231,135
758,136
6380,137
6125,138
3978,139
949,140
209,141
270,142
5464,143
5998,144
2804,145
2599,146
304,147
406,148
4771,149
3880,150
595,151
389,152
5139,153
578,154
6696,155
5323,156
373,157
152,158
5534,159
