	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-36810.0	0.4361	36.99	36.59	-36880.0	-36810.0	-36740.0	7199.0	13980.0	0.3772	1.0
theta_mu[1,1]	0.6131	0.0003404	0.02543	0.0255	0.5638	0.613	0.6632	5584.0	11920.0	0.2926	1.001
theta_mu[1,2]	0.6814	0.0003319	0.02553	0.02563	0.632	0.6813	0.7317	5942.0	12920.0	0.3113	1.001
theta_mu[2,1]	-0.5177	0.0004138	0.04644	0.04607	-0.6096	-0.5174	-0.4274	12610.0	21420.0	0.6607	1.0
theta_mu[2,2]	-0.3895	0.0003928	0.04529	0.04535	-0.4786	-0.3894	-0.3012	13310.0	22290.0	0.6975	1.0
theta_mu[3,1]	-1.464	0.0004835	0.04499	0.04473	-1.553	-1.464	-1.377	8659.0	16490.0	0.4537	1.001
theta_mu[3,2]	-1.341	0.00046	0.04223	0.04246	-1.425	-1.34	-1.26	8389.0	17440.0	0.4395	1.001
theta_mu[4,1]	0.1929	0.0005295	0.03788	0.03765	0.1207	0.1923	0.2691	5143.0	10420.0	0.2695	1.001
theta_mu[4,2]	0.1475	0.0005276	0.03752	0.03723	0.07498	0.1473	0.2218	5074.0	10790.0	0.2658	1.001
theta_c_pr[1,1]	0.7705	0.002268	0.3705	0.3559	0.1143	0.7455	1.572	27340.0	26690.0	1.433	1.0
theta_c_pr[1,2]	0.05808	0.001738	0.2696	0.265	-0.4395	0.04746	0.6181	24340.0	27360.0	1.275	1.0
theta_c_pr[1,3]	1.227	0.002567	0.4307	0.4229	0.4697	1.199	2.15	28830.0	27180.0	1.511	1.0
theta_c_pr[1,4]	-0.4584	0.002453	0.3464	0.3255	-1.039	-0.4947	0.3315	20560.0	21960.0	1.077	1.0
theta_c_pr[1,5]	0.4184	0.003808	0.5592	0.5426	-0.5161	0.3617	1.657	21380.0	26940.0	1.12	1.0
theta_c_pr[1,6]	0.74	0.002202	0.3658	0.3628	0.09711	0.7178	1.522	27920.0	29440.0	1.463	1.0
theta_c_pr[1,7]	-0.5893	0.001855	0.2227	0.2197	-1.006	-0.5972	-0.1293	14360.0	23460.0	0.7521	1.001
theta_c_pr[1,8]	0.6729	0.002051	0.3443	0.3423	0.04717	0.6549	1.4	28430.0	29190.0	1.49	1.0
theta_c_pr[1,9]	1.647	0.002932	0.5104	0.5029	0.734	1.619	2.739	30410.0	30130.0	1.593	1.0
theta_c_pr[1,10]	1.888	0.002893	0.5197	0.519	0.9471	1.862	2.979	32520.0	30390.0	1.704	1.0
theta_c_pr[1,11]	0.3771	0.002196	0.3487	0.3426	-0.2446	0.3574	1.124	25480.0	28720.0	1.335	1.0
theta_c_pr[1,12]	-0.04391	0.002376	0.3481	0.3368	-0.6386	-0.07338	0.7231	21910.0	24350.0	1.148	1.0
theta_c_pr[1,13]	0.6232	0.002288	0.3649	0.3597	-0.02434	0.5993	1.398	25650.0	28010.0	1.344	1.0
theta_c_pr[1,14]	-0.4609	0.00264	0.3648	0.3425	-1.08	-0.4956	0.3593	19490.0	24800.0	1.021	1.0
theta_c_pr[1,15]	-0.2026	0.002057	0.3014	0.2903	-0.7363	-0.2224	0.444	21390.0	28000.0	1.121	1.0
theta_c_pr[1,16]	0.235	0.001872	0.271	0.2646	-0.2492	0.2174	0.8145	21250.0	26080.0	1.114	1.0
theta_c_pr[1,17]	0.6961	0.002085	0.3479	0.3413	0.07251	0.6757	1.438	27940.0	28640.0	1.464	1.0
theta_c_pr[1,18]	-0.125	0.001844	0.2871	0.2829	-0.6455	-0.1418	0.4815	24230.0	29030.0	1.27	1.0
theta_c_pr[1,19]	-0.2288	0.002436	0.3475	0.3316	-0.821	-0.261	0.5428	20800.0	24500.0	1.09	1.0
theta_c_pr[1,20]	-0.1337	0.001819	0.2707	0.2637	-0.6263	-0.1482	0.4389	22080.0	25670.0	1.157	1.0
theta_c_pr[1,21]	-0.2254	0.002044	0.3003	0.2894	-0.7565	-0.2471	0.4218	21770.0	25930.0	1.141	1.0
theta_c_pr[1,22]	0.4204	0.002551	0.4003	0.3893	-0.2712	0.3908	1.29	24900.0	27990.0	1.305	1.0
theta_c_pr[1,23]	-1.635	0.002256	0.2278	0.2153	-2.059	-1.642	-1.168	10260.0	19840.0	0.5376	1.0
theta_c_pr[1,24]	0.3501	0.001897	0.3144	0.311	-0.2124	0.3322	1.019	27900.0	28200.0	1.462	1.0
theta_c_pr[1,25]	0.5286	0.00264	0.4053	0.4001	-0.1772	0.4988	1.401	23940.0	27220.0	1.254	1.0
theta_c_pr[1,26]	0.7089	0.002265	0.3668	0.3628	0.05559	0.6859	1.483	26370.0	26460.0	1.382	1.0
theta_c_pr[1,27]	1.806	0.002652	0.4865	0.4858	0.9362	1.779	2.831	34200.0	27340.0	1.792	1.0
theta_c_pr[1,28]	0.7457	0.002019	0.3073	0.3028	0.1894	0.7282	1.392	23310.0	27600.0	1.221	1.0
theta_c_pr[1,29]	0.6385	0.002444	0.3885	0.3777	-0.03596	0.6101	1.481	25770.0	26820.0	1.35	1.0
theta_c_pr[1,30]	0.6409	0.002175	0.3539	0.3495	-0.01005	0.6254	1.382	26640.0	27580.0	1.396	1.0
theta_c_pr[1,31]	-0.6276	0.002996	0.4096	0.3745	-1.274	-0.681	0.325	19600.0	21440.0	1.027	1.0
theta_c_pr[1,32]	-0.5723	0.002101	0.2851	0.2713	-1.069	-0.5942	0.04644	18560.0	23510.0	0.9725	1.0
