participant_id,stan_idx
83,1
159,2
6138,3
4172,4
481,5
4348,6
197,7
3596,8
1780,9
583,10
5673,11
6215,12
7308,13
2039,14
2085,15
7534,16
321,17
4824,18
4673,19
3457,20
2559,21
2791,22
1571,23
5496,24
5322,25
17,26
45,27
78,28
5247,29
5732,30
7314,31
285,32
1416,33
2402,34
4729,35
4727,36
138,37
26,38
3268,39
4582,40
461,41
174,42
338,43
4661,44
6117,45
5855,46
3527,47
5893,48
4533,49
293,50
6631,51
3790,52
187,53
626,54
3991,55
3330,56
302,57
4947,58
210,59
228,60
4200,61
240,62
6416,63
7612,64
1456,65
33,66
4004,67
592,68
7547,69
6072,70
266,71
1981,72
218,73
5963,74
3632,75
1843,76
587,77
3054,78
75,79
105,80
5332,81
63,82
4173,83
504,84
5055,85
2430,86
3535,87
3386,88
4459,89
390,90
3785,91
709,92
506,93
3252,94
4924,95
4439,96
115,97
3206,98
3193,99
452,100
2040,101
6,102
6505,103
1,104
478,105
198,106
4934,107
206,108
5031,109
2761,110
410,111
3349,112
140,113
200,114
44,115
5152,116
5525,117
41,118
3547,119
2068,120
4868,121
381,122
5231,123
758,124
6380,125
6125,126
3978,127
5998,128
2599,129
304,130
406,131
4771,132
3880,133
595,134
389,135
5139,136
578,137
6696,138
5323,139
152,140
5534,141
