	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-50920.0	0.3878	36.3	36.49	-50990.0	-50920.0	-50850.0	8746.0	17440.0	0.02648	1.001
alpha1_mu[1]	-0.6271	0.002669	0.1295	0.1307	-0.8816	-0.6264	-0.3759	2355.0	5624.0	0.007131	1.002
alpha1_mu[2]	-0.4785	0.002529	0.123	0.1232	-0.7206	-0.4783	-0.2391	2374.0	5214.0	0.007189	1.002
beta_mu[1,1]	-0.207	0.0009629	0.1131	0.1116	-0.4425	-0.2021	-0.0001605	13910.0	21540.0	0.04213	1.0
beta_mu[1,2]	-0.3609	0.001138	0.1346	0.1343	-0.643	-0.3541	-0.1152	14040.0	19760.0	0.04251	1.0
beta_mu[2,1]	0.6517	0.0006479	0.06275	0.0625	0.5241	0.6536	0.7695	9414.0	18330.0	0.0285	1.0
beta_mu[2,2]	0.663	0.0005458	0.05497	0.05469	0.5515	0.6645	0.7673	10170.0	18280.0	0.0308	1.001
beta_mu[3,1]	1.635	0.0006704	0.04795	0.04775	1.539	1.635	1.728	5190.0	11270.0	0.01572	1.001
beta_mu[3,2]	1.695	0.0007094	0.05023	0.04981	1.595	1.695	1.793	5070.0	11630.0	0.01535	1.002
beta_mu[4,1]	-0.898	0.0009364	0.09383	0.09347	-1.087	-0.8963	-0.7202	9998.0	18330.0	0.03027	1.0
beta_mu[4,2]	-0.6508	0.001056	0.1027	0.1022	-0.8585	-0.6482	-0.4562	9440.0	15930.0	0.02858	1.0
alpha1_c_pr[1]	-0.06967	0.002556	0.1811	0.1782	-0.4234	-0.0703	0.2898	5067.0	15530.0	0.01534	1.001
alpha1_c_pr[2]	-0.6622	0.002476	0.2729	0.2569	-1.207	-0.663	-0.1195	12050.0	14960.0	0.03649	1.0
alpha1_c_pr[3]	0.6222	0.002235	0.1765	0.1748	0.2868	0.6184	0.9796	6215.0	14900.0	0.01882	1.001
