participant_ID,alpha1_session1_mean,alpha1_session1_sd,alpha1_session2_mean,alpha1_session2_sd,beta1m_session1_mean,beta1m_session1_sd,beta1m_session2_mean,beta1m_session2_sd,beta1t_session1_mean,beta1t_session1_sd,beta1t_session2_mean,beta1t_session2_sd,beta2_session1_mean,beta2_session1_sd,beta2_session2_mean,beta2_session2_sd,betac_session1_mean,betac_session1_sd,betac_session2_mean,betac_session2_sd,alpha1_common_mean,alpha1_common_sd,beta1m_common_mean,beta1m_common_sd,beta1t_common_mean,beta1t_common_sd,beta2_common_mean,beta2_common_sd,betac_common_mean,betac_common_sd
83,0.3445,0.0589,0.3476,0.05427,2.781,0.8066,3.661,1.092,2.755,0.771,2.252,0.6013,6.726,1.033,7.454,1.125,0.9347,0.2981,1.178,0.2922,0.3462,0.04624,3.076,0.8387,2.423,0.5817,6.924,0.8222,0.9925,0.2452
159,0.1776,0.04098,0.2226,0.08459,0.8964,0.6173,0.6391,0.4056,2.043,0.8253,1.417,0.4117,9.302,1.307,3.43,0.7459,1.908,0.4066,0.9847,0.1971,0.2011,0.05314,0.7501,0.4732,1.656,0.5297,5.895,1.689,1.366,0.4253
6138,0.5664,0.05597,0.5711,0.05911,2.932,0.5668,3.428,0.7083,2.136,0.5367,2.031,0.4871,7.553,1.261,10.23,2.17,0.3224,0.1645,0.413,0.1979,0.5628,0.0477,3.078,0.5488,2.055,0.4361,8.449,1.34,0.3582,0.1514
4172,0.305,0.06971,0.1152,0.03081,0.3755,0.209,0.3418,0.2643,1.441,0.4117,1.868,0.796,3.664,0.6612,7.257,1.038,0.6589,0.1751,5.315,2.203,0.2034,0.07464,0.3531,0.2195,1.657,0.5524,5.141,1.012,1.757,0.847
481,0.309,0.0537,0.6055,0.07525,0.8949,0.3954,0.8834,0.4226,2.127,0.5665,1.656,0.4144,4.193,0.733,4.297,0.7613,0.4822,0.1773,0.7995,0.2187,0.4511,0.09282,0.8727,0.378,1.839,0.4256,4.28,0.5898,0.5974,0.1642
4348,0.4604,0.05687,0.5453,0.0701,0.4012,0.2005,0.3551,0.2248,1.727,0.4013,2.347,0.5741,6.108,0.9251,6.11,0.9996,0.4675,0.1771,0.7528,0.2798,0.4987,0.05419,0.3731,0.1977,2.037,0.454,6.035,0.7385,0.57,0.1826
197,0.0828,0.03071,0.3664,0.0607,0.9317,0.6497,0.8116,0.5889,5.382,4.174,3.525,1.248,24.51,3.638,17.94,4.856,4.036,2.073,1.509,0.5147,0.1973,0.08243,0.8545,0.5785,4.025,2.019,19.44,3.912,2.422,1.304
3596,0.512,0.07035,0.6839,0.07235,0.9803,0.4757,0.6406,0.2779,3.492,0.6468,1.869,0.3217,6.978,1.138,4.196,0.7119,0.2157,0.1419,0.1354,0.07773,0.5938,0.07351,0.7923,0.3489,2.455,0.5213,5.485,1.03,0.1786,0.1018
1780,0.4012,0.05254,0.4871,0.05798,2.745,0.8584,3.028,0.989,2.724,0.8299,2.404,0.6743,7.806,1.122,10.05,1.908,1.261,0.3632,1.322,0.31,0.441,0.04774,2.796,0.8217,2.495,0.6377,8.521,1.176,1.222,0.2977
583,0.1319,0.03294,0.2813,0.06702,0.6494,0.3563,0.5148,0.3091,1.451,0.4482,1.595,0.4042,6.592,0.9756,5.23,0.835,0.1751,0.08812,0.1941,0.1069,0.2008,0.0536,0.5732,0.3112,1.527,0.369,5.856,0.816,0.1881,0.08417
5673,0.737,0.06644,0.7987,0.07151,0.5368,0.2355,0.4374,0.2208,1.854,0.3685,1.692,0.3401,5.33,1.06,4.694,0.9603,0.2379,0.121,0.2921,0.1489,0.7616,0.06252,0.481,0.2117,1.757,0.3018,5.007,0.82,0.2632,0.1138
6215,0.03391,0.04837,0.06559,0.03364,0.6599,0.4531,0.5529,0.4243,1.348,0.6951,1.405,0.576,4.355,1.661,7.085,1.186,0.1725,0.08594,0.1563,0.08303,0.04828,0.03794,0.5961,0.4133,1.375,0.5688,5.456,1.352,0.17,0.07491
