parameter,label,age_group,icc,icc_ci_lo,icc_ci_hi,n
alpha1,Learning rate,10-15 years old,0.7720163775179404,0.6457481663910293,0.8690216435961652,51
alpha1,Learning rate,15-20 years old,0.707600356452262,0.5612018147717099,0.82351639198349,35
alpha1,Learning rate,20-25 years old,0.7538010796884579,0.6087315809792353,0.8716880891176928,44
beta1m,Model-based β,10-15 years old,0.8896473271168006,0.8468486629871821,0.958191699082967,51
beta1m,Model-based β,15-20 years old,0.950681874712813,0.9279675326208839,0.9717180959044571,35
beta1m,Model-based β,20-25 years old,0.9021006191344757,0.8164292935154854,0.9705459012927548,44
beta1t,Model-free β,10-15 years old,0.7312878616911817,0.6472070445908613,0.8283452467032093,51
beta1t,Model-free β,15-20 years old,0.7291316803611831,0.603127258107231,0.8436158866343834,35
beta1t,Model-free β,20-25 years old,0.660511519506524,0.5335663735529276,0.7898916773387905,44
beta2,Stage-2 temp.,10-15 years old,0.5428601639645614,0.35615381600218793,0.6880803021825234,51
beta2,Stage-2 temp.,15-20 years old,0.45154025053261665,0.3061727656377593,0.657478791182997,35
beta2,Stage-2 temp.,20-25 years old,0.5165277322396249,0.34441538887259837,0.7156359156895783,44
betac,Stickiness,10-15 years old,0.3021885579678443,0.2576664810824253,0.38777685185471095,51
betac,Stickiness,15-20 years old,0.3558905028622674,0.26304593027105333,0.5695399749664858,35
betac,Stickiness,20-25 years old,0.31023009689267017,0.25634066052404453,0.6319177556270689,44
