	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
lp__	-48700.0	0.4269	40.31	40.02	-48780.0	-48700.0	-48620.0	8911.0	17810.0	0.04411	1.001
alpha1_mu[1]	-0.1128	0.001643	0.09538	0.09529	-0.2975	-0.1131	0.0763	3389.0	8087.0	0.01678	1.001
alpha1_mu[2]	-0.02118	0.001499	0.08596	0.08613	-0.1879	-0.02176	0.1488	3291.0	6858.0	0.01629	1.001
forget_mu[1]	-0.6879	0.0005558	0.05794	0.05717	-0.8008	-0.6881	-0.5724	10880.0	18020.0	0.05384	1.0
forget_mu[2]	-0.66	0.0005999	0.06331	0.06297	-0.7841	-0.66	-0.5337	11170.0	18240.0	0.05529	1.0
beta_mu[1,1]	-0.05387	0.0009378	0.1038	0.1029	-0.2687	-0.04949	0.1377	12240.0	22010.0	0.06057	1.0
beta_mu[1,2]	-0.2447	0.001147	0.1298	0.13	-0.5135	-0.2391	-0.008739	12800.0	20980.0	0.06335	1.0
beta_mu[2,1]	0.5969	0.0005792	0.06614	0.06556	0.4639	0.598	0.7239	13110.0	21300.0	0.06488	1.0
beta_mu[2,2]	0.6066	0.0005312	0.06251	0.0619	0.4803	0.6074	0.7263	13960.0	23190.0	0.06911	1.0
beta_mu[3,1]	1.618	0.000559	0.04812	0.04756	1.523	1.618	1.712	7439.0	14770.0	0.03682	1.0
beta_mu[3,2]	1.584	0.000539	0.04633	0.04627	1.494	1.584	1.675	7409.0	15200.0	0.03667	1.0
beta_mu[4,1]	0.676	0.0006048	0.05234	0.05188	0.5732	0.6761	0.7789	7484.0	14810.0	0.03705	1.0
beta_mu[4,2]	0.8342	0.0006821	0.05818	0.05775	0.7219	0.8333	0.9502	7276.0	13970.0	0.03602	1.0
alpha1_c_pr[1]	-0.04625	0.001817	0.1844	0.1809	-0.4025	-0.04858	0.3253	10320.0	19960.0	0.0511	1.0
alpha1_c_pr[2]	-1.098	0.008237	0.3258	0.3367	-1.763	-1.083	-0.5125	1574.0	7608.0	0.00779	1.003
alpha1_c_pr[3]	0.9053	0.001908	0.2115	0.2047	0.5219	0.8939	1.352	12140.0	21330.0	0.06008	1.0
alpha1_c_pr[4]	-0.8125	0.003436	0.2999	0.2906	-1.38	-0.8228	-0.188	7946.0	10360.0	0.03933	1.001
alpha1_c_pr[5]	0.3409	0.007705	0.3232	0.324	-0.2683	0.3352	0.987	1758.0	6876.0	0.008701	1.004
alpha1_c_pr[6]	0.6439	0.003616	0.2631	0.2518	0.1579	0.6334	1.196	5156.0	12260.0	0.02552	1.001
alpha1_c_pr[7]	-0.7384	0.006138	0.2636	0.264	-1.249	-0.7402	-0.2165	1851.0	8039.0	0.009163	1.003
alpha1_c_pr[8]	0.5358	0.005643	0.2788	0.2661	0.05767	0.5119	1.151	2418.0	9580.0	0.01197	1.002
alpha1_c_pr[9]	0.2804	0.002017	0.1858	0.1815	-0.07172	0.2745	0.6618	8531.0	18800.0	0.04223	1.0
alpha1_c_pr[10]	-0.5543	0.003796	0.2491	0.2423	-1.029	-0.5605	-0.05005	4334.0	12670.0	0.02145	1.001
alpha1_c_pr[11]	1.888	0.003059	0.5007	0.4846	1.061	1.832	3.002	29010.0	24740.0	0.1436	1.0
alpha1_c_pr[12]	-1.557	0.004271	0.3619	0.3543	-2.297	-1.548	-0.8696	7219.0	16700.0	0.03573	1.001
alpha1_c_pr[13]	-1.093	0.006406	0.2853	0.2909	-1.667	-1.087	-0.5582	2002.0	7575.0	0.009911	1.003
alpha1_c_pr[14]	0.3629	0.002963	0.1923	0.1879	-0.02431	0.3663	0.7359	4217.0	10290.0	0.02087	1.0
alpha1_c_pr[15]	-0.4874	0.002277	0.187	0.1837	-0.8655	-0.4838	-0.1305	6787.0	15400.0	0.03359	1.0
alpha1_c_pr[16]	0.1114	0.002623	0.1752	0.1715	-0.2133	0.1046	0.4735	4490.0	13120.0	0.02222	1.001
alpha1_c_pr[17]	-0.005227	0.002553	0.3405	0.3207	-0.6574	-0.01417	0.6997	18070.0	20410.0	0.08944	1.0
alpha1_c_pr[18]	-0.06888	0.003183	0.2183	0.2129	-0.5124	-0.06351	0.3509	4734.0	12150.0	0.02343	1.001
alpha1_c_pr[19]	0.6864	0.003666	0.3121	0.2919	0.1061	0.6736	1.341	6806.0	11850.0	0.03369	1.001
alpha1_c_pr[20]	0.5309	0.006373	0.2483	0.2521	0.08076	0.521	1.042	1510.0	5805.0	0.007476	1.004
alpha1_c_pr[21]	0.1831	0.002403	0.1766	0.1731	-0.1593	0.1813	0.5376	5409.0	13050.0	0.02678	1.0
alpha1_c_pr[22]	-0.04991	0.005568	0.3486	0.3438	-0.747	-0.04153	0.6216	3924.0	10140.0	0.01942	1.002
alpha1_c_pr[23]	0.472	0.0113	0.4022	0.423	-0.2247	0.4513	1.303	1271.0	6175.0	0.006289	1.005
alpha1_c_pr[24]	-0.7786	0.002241	0.2923	0.2874	-1.35	-0.782	-0.1988	17000.0	23550.0	0.08416	1.0
alpha1_c_pr[25]	-1.372	0.005977	0.4321	0.4168	-2.184	-1.389	-0.4775	5271.0	10740.0	0.02609	1.001
